,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,3890.8835858914135,0.017756400000052963,"[10, 24, 12, 11, 25, 15, 1, 3, 18, 21, 9, 23, 5, 27, 2, 22, 14, 28, 26, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",300,0.03,2048
1,1,4514.333143471309,0.0735357000003205,"[14, 28, 11, 20, 9, 15, 17, 2, 24, 0, 26, 21, 10, 1, 5, 19, 22, 16, 18, 23, 7, 8, 12, 25, 4, 27, 6, 13, 3]",300,0.03,2048
2,2,4514.333143471309,0.1430304000000433,"[14, 28, 11, 20, 9, 15, 17, 2, 24, 0, 26, 21, 10, 1, 5, 19, 22, 16, 18, 23, 7, 8, 12, 25, 4, 27, 6, 13, 3]",300,0.03,2048
3,4,4628.176046603407,0.27511309999999867,"[1, 11, 10, 22, 26, 13, 9, 12, 19, 6, 7, 25, 28, 14, 27, 17, 21, 23, 20, 18, 5, 2, 0, 4, 15, 16, 8, 3, 24]",300,0.03,2048
4,8,4718.175345334074,0.5062176000001273,"[7, 28, 11, 15, 26, 6, 9, 2, 3, 10, 1, 20, 8, 23, 27, 17, 13, 19, 12, 14, 21, 0, 4, 24, 18, 16, 22, 25, 5]",300,0.03,2048
5,16,5098.103342932426,0.9645009999999274,"[0, 23, 10, 2, 7, 28, 11, 15, 26, 6, 9, 3, 1, 20, 8, 12, 14, 5, 27, 17, 13, 19, 21, 4, 24, 18, 16, 22, 25]",300,0.03,2048
6,32,5148.282586360197,1.8765897000002951,"[20, 8, 12, 14, 3, 26, 5, 4, 6, 25, 0, 2, 7, 9, 15, 16, 24, 18, 10, 1, 21, 28, 11, 17, 22, 19, 27, 23, 13]",300,0.03,2048
7,64,5309.945402807388,3.7220299999999042,"[20, 8, 0, 1, 3, 14, 28, 11, 12, 4, 6, 25, 5, 26, 21, 9, 15, 23, 10, 2, 7, 22, 16, 27, 17, 13, 19, 24, 18]",300,0.03,2048
8,128,5331.320416463533,7.465555000000222,"[20, 8, 0, 1, 3, 18, 28, 11, 12, 4, 6, 25, 15, 23, 21, 9, 5, 26, 10, 2, 7, 22, 16, 27, 17, 13, 19, 24, 14]",300,0.03,2048
9,256,5341.372485933586,14.746204399999897,"[20, 8, 28, 1, 12, 18, 10, 11, 3, 25, 5, 4, 15, 23, 21, 9, 6, 26, 0, 2, 7, 22, 16, 27, 17, 13, 19, 24, 14]",300,0.03,2048
10,512,5401.631400176347,29.202052900000126,"[17, 8, 28, 11, 10, 18, 12, 1, 5, 26, 3, 4, 15, 19, 21, 9, 6, 25, 0, 2, 20, 27, 7, 13, 16, 22, 23, 24, 14]",300,0.03,2048
11,1024,5402.456321881624,57.72011049999992,"[17, 8, 28, 11, 10, 18, 12, 1, 3, 26, 24, 4, 15, 19, 21, 9, 6, 25, 0, 2, 20, 13, 7, 27, 16, 22, 23, 5, 14]",300,0.03,2048
12,2048,5402.456321881624,57.72011049999992,"[17, 8, 28, 11, 10, 18, 12, 1, 3, 26, 24, 4, 15, 19, 21, 9, 6, 25, 0, 2, 20, 13, 7, 27, 16, 22, 23, 5, 14]",300,0.03,2048
