,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.014880199999993238,2402.244998354582,300,0.03,2048
1,1,0.06034299999998893,2402.244998354582,300,0.03,2048
2,2,0.1244965999999863,2454.935018405837,300,0.03,2048
3,3,0.1949198000000365,2454.935018405837,300,0.03,2048
4,4,0.2421818999999914,2464.396704480163,300,0.03,2048
5,5,0.3099399000000176,2464.396704480163,300,0.03,2048
6,6,0.35477389999999787,2464.396704480163,300,0.03,2048
7,7,0.4012634000000048,2472.176405001853,300,0.03,2048
8,8,0.44237859999998363,2495.809410225425,300,0.03,2048
9,9,0.5047220000000152,2495.809410225425,300,0.03,2048
10,10,0.5454111000000239,2495.809410225425,300,0.03,2048
11,11,0.5861439999999902,2495.809410225425,300,0.03,2048
12,12,0.6255363000000216,2495.809410225425,300,0.03,2048
13,13,0.6697371000000203,2495.809410225425,300,0.03,2048
14,14,0.7119989999999916,2495.809410225425,300,0.03,2048
15,15,0.7550335999999902,2495.809410225425,300,0.03,2048
16,16,0.8147796000000085,2495.809410225425,300,0.03,2048
17,17,0.8860578000000032,2495.809410225425,300,0.03,2048
18,18,0.9347245999999814,2495.809410225425,300,0.03,2048
19,19,0.9829788000000121,2495.809410225425,300,0.03,2048
20,20,1.0266295000000127,2495.809410225425,300,0.03,2048
21,21,1.072504400000014,2495.809410225425,300,0.03,2048
22,22,1.120715500000017,2495.809410225425,300,0.03,2048
23,23,1.17084490000002,2495.809410225425,300,0.03,2048
24,24,1.2154171000000247,2495.809410225425,300,0.03,2048
25,25,1.2589202999999998,2498.1269614325474,300,0.03,2048
26,26,1.3120817000000216,2498.1269614325474,300,0.03,2048
27,27,1.3755037000000243,2498.1269614325474,300,0.03,2048
28,28,1.4285302000000115,2498.1269614325474,300,0.03,2048
29,29,1.4837054000000194,2504.4093951149293,300,0.03,2048
30,30,1.5333894999999984,2504.4093951149293,300,0.03,2048
31,31,1.580321099999992,2504.4093951149293,300,0.03,2048
32,32,1.629460999999992,2504.4093951149293,300,0.03,2048
33,33,1.6955092000000036,2504.4093951149293,300,0.03,2048
34,34,1.7376280000000293,2504.4093951149293,300,0.03,2048
35,35,1.7844592000000148,2504.4093951149293,300,0.03,2048
36,36,1.8315787000000228,2504.4093951149293,300,0.03,2048
37,37,1.8832629999999995,2504.4093951149293,300,0.03,2048
38,38,1.933038100000033,2504.4093951149293,300,0.03,2048
39,39,1.9806396999999833,2504.4093951149293,300,0.03,2048
40,40,2.0296061000000236,2504.4093951149293,300,0.03,2048
41,41,2.07676570000001,2504.4093951149293,300,0.03,2048
42,42,2.1223375000000146,2504.4093951149293,300,0.03,2048
43,43,2.177942200000018,2504.4093951149293,300,0.03,2048
44,44,2.221982099999991,2515.06543698398,300,0.03,2048
45,45,2.2651627999999846,2515.06543698398,300,0.03,2048
46,46,2.307158300000026,2515.06543698398,300,0.03,2048
47,47,2.3511035999999876,2515.06543698398,300,0.03,2048
48,48,2.3952492000000234,2515.06543698398,300,0.03,2048
49,49,2.440262300000029,2515.06543698398,300,0.03,2048
50,50,2.4897162999999978,2515.06543698398,300,0.03,2048
51,51,2.5381151000000273,2515.06543698398,300,0.03,2048
52,52,2.587306100000035,2515.06543698398,300,0.03,2048
53,53,2.6354054000000247,2515.06543698398,300,0.03,2048
54,54,2.6843360000000303,2515.06543698398,300,0.03,2048
55,55,2.731799800000033,2515.06543698398,300,0.03,2048
56,56,2.778372900000022,2515.06543698398,300,0.03,2048
57,57,2.8268878000000086,2515.06543698398,300,0.03,2048
58,58,2.8752464000000373,2515.06543698398,300,0.03,2048
59,59,2.921703700000023,2515.06543698398,300,0.03,2048
60,60,2.969974900000011,2515.06543698398,300,0.03,2048
61,61,3.0242633999999953,2515.06543698398,300,0.03,2048
62,62,3.089703400000019,2515.06543698398,300,0.03,2048
63,63,3.140296000000035,2515.06543698398,300,0.03,2048
64,64,3.1925805000000196,2515.06543698398,300,0.03,2048
65,65,3.2624304999999936,2515.06543698398,300,0.03,2048
66,66,3.3101235000000315,2518.104818997969,300,0.03,2048
67,67,3.356671600000027,2518.104818997969,300,0.03,2048
68,68,3.408241500000031,2518.104818997969,300,0.03,2048
69,69,3.4593070999999895,2518.104818997969,300,0.03,2048
70,70,3.5093689000000268,2518.104818997969,300,0.03,2048
71,71,3.5551671000000056,2518.104818997969,300,0.03,2048
72,72,3.60844689999999,2518.104818997969,300,0.03,2048
73,73,3.6535855000000197,2518.104818997969,300,0.03,2048
74,74,3.7003758000000175,2518.104818997969,300,0.03,2048
75,75,3.746013399999981,2518.104818997969,300,0.03,2048
76,76,3.7914582000000223,2518.104818997969,300,0.03,2048
77,77,3.835486400000036,2518.104818997969,300,0.03,2048
78,78,3.878410400000007,2518.104818997969,300,0.03,2048
79,79,3.920724899999982,2518.104818997969,300,0.03,2048
80,80,3.96492649999999,2518.104818997969,300,0.03,2048
81,81,4.009650800000031,2518.104818997969,300,0.03,2048
82,82,4.054760999999985,2518.104818997969,300,0.03,2048
83,83,4.098752700000034,2518.104818997969,300,0.03,2048
84,84,4.1443879000000265,2518.104818997969,300,0.03,2048
85,85,4.1891818000000285,2518.104818997969,300,0.03,2048
86,86,4.233532000000025,2518.104818997969,300,0.03,2048
87,87,4.287283600000023,2518.104818997969,300,0.03,2048
88,88,4.33833450000003,2518.104818997969,300,0.03,2048
89,89,4.397846399999992,2518.5434536654047,300,0.03,2048
90,90,4.453300899999988,2518.5434536654047,300,0.03,2048
91,91,4.503885200000013,2518.5434536654047,300,0.03,2048
92,92,4.553818000000035,2518.5434536654047,300,0.03,2048
93,93,4.612714100000005,2518.5434536654047,300,0.03,2048
94,94,4.658526600000016,2518.5434536654047,300,0.03,2048
95,95,4.701361700000007,2518.5434536654047,300,0.03,2048
96,96,4.746361000000036,2518.5434536654047,300,0.03,2048
97,97,4.790301900000031,2518.5434536654047,300,0.03,2048
98,98,4.834957599999996,2518.5434536654047,300,0.03,2048
99,99,4.877887600000008,2518.5434536654047,300,0.03,2048
100,100,4.922045099999991,2518.5434536654047,300,0.03,2048
101,101,4.965024400000004,2518.5434536654047,300,0.03,2048
102,102,5.0102995000000305,2518.5434536654047,300,0.03,2048
103,103,5.0543190999999865,2518.5434536654047,300,0.03,2048
104,104,5.101276200000029,2518.5434536654047,300,0.03,2048
105,105,5.148249899999996,2518.5434536654047,300,0.03,2048
106,106,5.1996376999999825,2518.5434536654047,300,0.03,2048
107,107,5.246655799999985,2518.5434536654047,300,0.03,2048
108,108,5.306383900000014,2518.5434536654047,300,0.03,2048
109,109,5.360380399999997,2518.5434536654047,300,0.03,2048
110,110,5.412369800000022,2518.5434536654047,300,0.03,2048
111,111,5.460205400000007,2518.5434536654047,300,0.03,2048
112,112,5.50730329999999,2518.5434536654047,300,0.03,2048
113,113,5.554279500000007,2518.5434536654047,300,0.03,2048
114,114,5.599598500000013,2518.5434536654047,300,0.03,2048
115,115,5.645346800000027,2518.5434536654047,300,0.03,2048
116,116,5.691231399999992,2518.5434536654047,300,0.03,2048
117,117,5.735381300000029,2518.5434536654047,300,0.03,2048
118,118,5.77729290000002,2518.5434536654047,300,0.03,2048
119,119,5.821549699999991,2518.5434536654047,300,0.03,2048
120,120,5.863355899999988,2518.5434536654047,300,0.03,2048
121,121,5.908497800000021,2518.5434536654047,300,0.03,2048
122,122,5.952362700000037,2518.5434536654047,300,0.03,2048
123,123,6.002247199999999,2518.5434536654047,300,0.03,2048
124,124,6.0489058,2518.5434536654047,300,0.03,2048
125,125,6.096752200000026,2518.5434536654047,300,0.03,2048
126,126,6.146007300000008,2518.5434536654047,300,0.03,2048
127,127,6.196626100000003,2518.5434536654047,300,0.03,2048
128,128,6.244932100000028,2518.5434536654047,300,0.03,2048
129,129,6.317277799999999,2518.543453665405,300,0.03,2048
130,130,6.361310199999991,2518.543453665405,300,0.03,2048
131,131,6.406457499999988,2518.543453665405,300,0.03,2048
132,132,6.454238500000031,2518.543453665405,300,0.03,2048
133,133,6.496932700000002,2518.543453665405,300,0.03,2048
134,134,6.5399969000000056,2518.543453665405,300,0.03,2048
135,135,6.59370100000001,2518.543453665405,300,0.03,2048
136,136,6.6337129000000346,2518.543453665405,300,0.03,2048
137,137,6.683972100000005,2518.543453665405,300,0.03,2048
138,138,6.727031699999998,2518.543453665405,300,0.03,2048
139,139,6.773211800000013,2518.543453665405,300,0.03,2048
140,140,6.818385799999987,2518.543453665405,300,0.03,2048
141,141,6.86364930000002,2518.543453665405,300,0.03,2048
142,142,6.909002600000008,2518.543453665405,300,0.03,2048
143,143,6.953010500000005,2518.543453665405,300,0.03,2048
144,144,6.997022500000014,2518.543453665405,300,0.03,2048
145,145,7.036762199999998,2518.543453665405,300,0.03,2048
146,146,7.083941299999992,2518.543453665405,300,0.03,2048
147,147,7.129930600000023,2518.543453665405,300,0.03,2048
148,148,7.19327659999999,2518.543453665405,300,0.03,2048
149,149,7.236278000000027,2518.543453665405,300,0.03,2048
150,150,7.279720800000007,2518.543453665405,300,0.03,2048
151,151,7.32152080000003,2518.543453665405,300,0.03,2048
152,152,7.367928199999994,2518.543453665405,300,0.03,2048
153,153,7.428939600000035,2518.543453665405,300,0.03,2048
154,154,7.472451700000022,2518.543453665405,300,0.03,2048
155,155,7.524489599999981,2518.543453665405,300,0.03,2048
156,156,7.573208099999988,2518.543453665405,300,0.03,2048
157,157,7.634204600000032,2518.543453665405,300,0.03,2048
158,158,7.690323700000022,2518.543453665405,300,0.03,2048
159,159,7.735151099999996,2518.543453665405,300,0.03,2048
160,160,7.784900900000025,2518.543453665405,300,0.03,2048
161,161,7.832365100000004,2518.543453665405,300,0.03,2048
162,162,7.881419100000016,2518.543453665405,300,0.03,2048
163,163,7.934916299999998,2518.543453665405,300,0.03,2048
164,164,7.990413799999999,2518.543453665405,300,0.03,2048
165,165,8.039131600000019,2518.543453665405,300,0.03,2048
166,166,8.090631700000017,2518.543453665405,300,0.03,2048
167,167,8.131249400000002,2518.543453665405,300,0.03,2048
168,168,8.178150300000027,2518.543453665405,300,0.03,2048
169,169,8.223742399999992,2518.543453665405,300,0.03,2048
170,170,8.263568300000031,2518.543453665405,300,0.03,2048
171,171,8.308917399999984,2518.543453665405,300,0.03,2048
172,172,8.355936600000007,2518.543453665405,300,0.03,2048
173,173,8.405401700000027,2518.543453665405,300,0.03,2048
174,174,8.452621000000022,2518.543453665405,300,0.03,2048
175,175,8.525244600000008,2518.543453665405,300,0.03,2048
176,176,8.577803099999983,2518.543453665405,300,0.03,2048
177,177,8.625790400000028,2518.543453665405,300,0.03,2048
178,178,8.678202199999987,2518.543453665405,300,0.03,2048
179,179,8.725443400000017,2518.543453665405,300,0.03,2048
180,180,8.765184599999998,2518.543453665405,300,0.03,2048
181,181,8.803131000000008,2518.543453665405,300,0.03,2048
182,182,8.844578300000023,2518.543453665405,300,0.03,2048
183,183,8.8882787,2518.543453665405,300,0.03,2048
184,184,8.933382300000005,2518.543453665405,300,0.03,2048
185,185,8.98210180000001,2518.543453665405,300,0.03,2048
186,186,9.026499600000022,2518.543453665405,300,0.03,2048
187,187,9.071855599999992,2518.543453665405,300,0.03,2048
188,188,9.118213200000014,2518.543453665405,300,0.03,2048
189,189,9.176806400000032,2518.543453665405,300,0.03,2048
190,190,9.222645100000022,2518.543453665405,300,0.03,2048
191,191,9.26274920000003,2518.543453665405,300,0.03,2048
192,192,9.304318000000023,2518.543453665405,300,0.03,2048
193,193,9.350012700000036,2518.543453665405,300,0.03,2048
194,194,9.392169500000023,2518.543453665405,300,0.03,2048
195,195,9.437264400000004,2518.543453665405,300,0.03,2048
196,196,9.479863800000032,2518.543453665405,300,0.03,2048
197,197,9.525011600000028,2518.543453665405,300,0.03,2048
198,198,9.566283999999996,2518.543453665405,300,0.03,2048
199,199,9.608707900000013,2518.543453665405,300,0.03,2048
200,200,9.6515713,2518.543453665405,300,0.03,2048
201,201,9.696502800000019,2518.543453665405,300,0.03,2048
202,202,9.739399800000001,2518.543453665405,300,0.03,2048
203,203,9.784584300000006,2518.543453665405,300,0.03,2048
204,204,9.829086399999994,2518.543453665405,300,0.03,2048
205,205,9.868800300000032,2518.543453665405,300,0.03,2048
206,206,9.914020300000004,2518.543453665405,300,0.03,2048
207,207,9.9560922,2518.543453665405,300,0.03,2048
208,208,10.002581599999985,2518.543453665405,300,0.03,2048
209,209,10.04334620000003,2518.543453665405,300,0.03,2048
210,210,10.086533299999985,2518.543453665405,300,0.03,2048
211,211,10.131583000000035,2518.543453665405,300,0.03,2048
212,212,10.190591600000005,2518.543453665405,300,0.03,2048
213,213,10.231419700000004,2518.543453665405,300,0.03,2048
214,214,10.273742000000027,2518.543453665405,300,0.03,2048
215,215,10.31589009999999,2518.543453665405,300,0.03,2048
216,216,10.359967100000006,2518.543453665405,300,0.03,2048
217,217,10.405512200000032,2518.543453665405,300,0.03,2048
218,218,10.449354200000016,2518.543453665405,300,0.03,2048
219,219,10.491356699999983,2518.543453665405,300,0.03,2048
220,220,10.5392468,2518.543453665405,300,0.03,2048
221,221,10.585345800000027,2518.543453665405,300,0.03,2048
222,222,10.6325243,2518.543453665405,300,0.03,2048
223,223,10.682063700000015,2518.543453665405,300,0.03,2048
224,224,10.729530000000011,2518.543453665405,300,0.03,2048
225,225,10.778403099999991,2518.543453665405,300,0.03,2048
226,226,10.8259817,2518.543453665405,300,0.03,2048
227,227,10.873812200000032,2518.543453665405,300,0.03,2048
228,228,10.92161470000002,2518.543453665405,300,0.03,2048
229,229,10.971153600000036,2518.543453665405,300,0.03,2048
230,230,11.021224099999984,2518.543453665405,300,0.03,2048
231,231,11.069566800000018,2518.543453665405,300,0.03,2048
232,232,11.115349900000012,2518.543453665405,300,0.03,2048
233,233,11.164441899999986,2518.543453665405,300,0.03,2048
234,234,11.211868200000026,2518.543453665405,300,0.03,2048
235,235,11.258241499999997,2518.543453665405,300,0.03,2048
236,236,11.302340500000014,2518.543453665405,300,0.03,2048
237,237,11.347425600000008,2518.543453665405,300,0.03,2048
238,238,11.38976230000003,2518.543453665405,300,0.03,2048
239,239,11.434047000000021,2518.543453665405,300,0.03,2048
240,240,11.474490900000035,2518.543453665405,300,0.03,2048
241,241,11.51462170000002,2518.543453665405,300,0.03,2048
242,242,11.560006299999998,2518.543453665405,300,0.03,2048
243,243,11.600778900000023,2518.543453665405,300,0.03,2048
244,244,11.641916600000002,2518.543453665405,300,0.03,2048
245,245,11.687991899999986,2518.543453665405,300,0.03,2048
246,246,11.731240600000035,2518.543453665405,300,0.03,2048
247,247,11.772872899999982,2518.543453665405,300,0.03,2048
248,248,11.816522599999985,2518.543453665405,300,0.03,2048
249,249,11.863271499999996,2518.543453665405,300,0.03,2048
250,250,11.907615899999996,2518.543453665405,300,0.03,2048
251,251,11.948514999999986,2518.543453665405,300,0.03,2048
252,252,11.992168900000024,2518.543453665405,300,0.03,2048
253,253,12.031613900000025,2518.543453665405,300,0.03,2048
254,254,12.07475199999999,2518.543453665405,300,0.03,2048
255,255,12.121516600000007,2518.543453665405,300,0.03,2048
256,256,12.174562299999991,2518.543453665405,300,0.03,2048
257,257,12.257149500000025,2518.543453665405,300,0.03,2048
258,258,12.304675799999984,2518.543453665405,300,0.03,2048
259,259,12.352524500000015,2518.543453665405,300,0.03,2048
260,260,12.398397499999987,2518.543453665405,300,0.03,2048
261,261,12.445127000000014,2518.543453665405,300,0.03,2048
262,262,12.487760600000001,2518.543453665405,300,0.03,2048
263,263,12.532279599999981,2518.543453665405,300,0.03,2048
264,264,12.578323300000022,2518.543453665405,300,0.03,2048
265,265,12.619145800000013,2518.543453665405,300,0.03,2048
266,266,12.659169500000019,2518.543453665405,300,0.03,2048
267,267,12.704131200000006,2518.543453665405,300,0.03,2048
268,268,12.75013469999999,2518.543453665405,300,0.03,2048
269,269,12.795528700000034,2518.543453665405,300,0.03,2048
270,270,12.840757800000006,2518.543453665405,300,0.03,2048
271,271,12.887310200000002,2518.543453665405,300,0.03,2048
272,272,12.934723800000029,2518.543453665405,300,0.03,2048
273,273,12.981212099999993,2518.543453665405,300,0.03,2048
274,274,13.043274499999995,2518.543453665405,300,0.03,2048
275,275,13.09321460000001,2518.543453665405,300,0.03,2048
276,276,13.141607700000009,2518.543453665405,300,0.03,2048
277,277,13.189010800000005,2518.543453665405,300,0.03,2048
278,278,13.248504500000024,2518.543453665405,300,0.03,2048
279,279,13.306577900000036,2518.543453665405,300,0.03,2048
280,280,13.357320099999981,2518.543453665405,300,0.03,2048
281,281,13.417310200000031,2518.543453665405,300,0.03,2048
282,282,13.459312000000011,2518.543453665405,300,0.03,2048
283,283,13.501474200000018,2518.543453665405,300,0.03,2048
284,284,13.551012200000002,2518.543453665405,300,0.03,2048
285,285,13.597531800000013,2518.543453665405,300,0.03,2048
286,286,13.642005900000015,2518.543453665405,300,0.03,2048
287,287,13.685542999999996,2518.543453665405,300,0.03,2048
288,288,13.731214099999988,2518.543453665405,300,0.03,2048
289,289,13.775538400000016,2518.543453665405,300,0.03,2048
290,290,13.820648000000006,2518.543453665405,300,0.03,2048
291,291,13.866769900000008,2518.543453665405,300,0.03,2048
292,292,13.911092999999994,2518.543453665405,300,0.03,2048
293,293,13.95561029999999,2518.543453665405,300,0.03,2048
294,294,14.001494900000012,2518.543453665405,300,0.03,2048
295,295,14.051613799999984,2518.543453665405,300,0.03,2048
296,296,14.100745800000027,2518.543453665405,300,0.03,2048
297,297,14.156007200000033,2518.543453665405,300,0.03,2048
298,298,14.209423700000002,2518.543453665405,300,0.03,2048
299,299,14.255051600000002,2518.543453665405,300,0.03,2048
300,300,14.303463899999997,2518.543453665405,300,0.03,2048
301,301,14.353180000000009,2518.543453665405,300,0.03,2048
302,302,14.399154399999986,2518.543453665405,300,0.03,2048
303,303,14.438518200000033,2518.543453665405,300,0.03,2048
304,304,14.479328100000032,2518.543453665405,300,0.03,2048
305,305,14.52301570000003,2518.543453665405,300,0.03,2048
