,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2170.402957280756,0.01778839999997217,"[2, 10, 8, 5, 1, 12, 6, 9, 3, 7, 13, 11, 0, 4]",False,300,0.2,2048
1,1,2432.61380906483,0.38351399999999103,"[6, 9, 1, 3, 2, 5, 8, 12, 7, 0, 11, 10, 4, 13]",False,300,0.2,2048
2,2,2534.394202311856,0.7853944999999953,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
3,4,2534.394202311856,1.5740951000000223,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
4,8,2534.394202311856,3.020003200000019,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
5,16,2534.394202311856,5.913634800000011,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
6,32,2534.394202311856,11.784105000000011,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
7,64,2534.394202311856,24.47072509999998,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
8,128,2534.394202311856,46.952914299999975,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
9,256,2534.394202311856,74.06201520000002,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
10,512,2534.394202311856,74.06201520000002,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
11,1024,2534.394202311856,74.06201520000002,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
12,2048,2534.394202311856,74.06201520000002,"[9, 6, 11, 10, 4, 3, 2, 7, 5, 13, 12, 8, 0, 1]",False,300,0.2,2048
