,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,2732.9477865318754,0.00015129999974305974,"[9, 11, 21, 19, 12, 10, 15, 1, 20, 5, 2, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 4]",25,2048,0
1,1,2857.8234483462356,0.0012164999998276471,"[9, 11, 21, 19, 12, 10, 15, 1, 2, 5, 20, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 4]",25,2048,0
2,2,2881.835615858097,0.06551089999993565,"[9, 11, 21, 19, 4, 10, 15, 1, 2, 5, 20, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 12]",25,2048,0
3,4,2907.317068203771,0.07533620000003793,"[9, 11, 21, 19, 4, 10, 15, 1, 2, 5, 20, 18, 14, 22, 3, 17, 8, 13, 6, 7, 16, 0, 12]",25,2048,0
4,8,3265.5093880411664,0.08596579999993992,"[9, 11, 12, 7, 4, 10, 15, 1, 2, 5, 20, 18, 22, 14, 3, 17, 8, 13, 6, 19, 16, 0, 21]",25,2048,0
5,16,3317.088457092439,0.09609169999976075,"[9, 11, 12, 7, 4, 10, 15, 1, 13, 5, 20, 18, 22, 14, 3, 17, 8, 16, 6, 19, 2, 0, 21]",25,2048,0
6,32,3706.916622594566,0.10834439999962342,"[7, 11, 12, 9, 8, 0, 1, 15, 13, 5, 20, 18, 22, 14, 2, 17, 10, 16, 6, 19, 3, 4, 21]",25,2048,0
7,64,3721.7874965198375,0.12152859999969223,"[7, 11, 21, 9, 8, 0, 19, 15, 13, 5, 20, 18, 22, 14, 2, 17, 10, 16, 6, 1, 3, 4, 12]",25,2048,0
8,128,3844.3698368569385,0.13823899999988498,"[20, 11, 21, 9, 5, 0, 19, 3, 7, 13, 8, 18, 15, 14, 2, 17, 10, 16, 6, 1, 22, 4, 12]",25,2048,0
9,256,4038.200517750241,0.16339819999984684,"[7, 2, 21, 18, 20, 0, 19, 3, 8, 13, 5, 11, 6, 14, 16, 17, 10, 9, 15, 1, 22, 4, 12]",25,2048,0
10,512,4055.9307594161496,0.20780659999991258,"[7, 2, 21, 18, 17, 0, 19, 3, 8, 13, 5, 11, 10, 14, 16, 20, 12, 9, 6, 1, 22, 4, 15]",25,2048,0
11,1024,4070.796913592135,0.28596909999987474,"[20, 18, 21, 2, 17, 0, 19, 3, 8, 13, 5, 9, 6, 14, 16, 7, 12, 11, 10, 1, 22, 4, 15]",25,2048,0
12,2048,4070.796913592135,0.28596909999987474,"[20, 18, 21, 2, 17, 0, 19, 3, 8, 13, 5, 9, 6, 14, 16, 7, 12, 11, 10, 1, 22, 4, 15]",25,2048,0
13,0,3081.0795960216255,0.30557539999972505,"[8, 5, 4, 13, 20, 19, 9, 21, 6, 22, 7, 12, 11, 3, 10, 16, 1, 18, 2, 14, 0, 17, 15]",25,2048,1
14,1,3081.0795960216255,0.306637099999989,"[8, 5, 4, 13, 20, 19, 9, 21, 6, 22, 7, 12, 11, 3, 10, 16, 1, 18, 2, 14, 0, 17, 15]",25,2048,1
15,2,3081.0795960216255,0.3250983999996606,"[8, 5, 4, 13, 20, 19, 9, 21, 6, 22, 7, 12, 11, 3, 10, 16, 1, 18, 2, 14, 0, 17, 15]",25,2048,1
16,4,3499.799722240341,0.3445312999997441,"[8, 6, 4, 13, 20, 19, 9, 21, 5, 2, 7, 12, 11, 3, 10, 16, 1, 18, 22, 14, 0, 17, 15]",25,2048,1
