,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2732.9477865318754,0.0001370999998471234,"[9, 11, 21, 19, 12, 10, 15, 1, 20, 5, 2, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 4]",geometric,10,0.99,0.001,9.999986220999054,10,8192
1,1,2857.8234483462356,0.0011611999998422107,"[9, 11, 21, 19, 12, 10, 15, 1, 2, 5, 20, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 4]",geometric,10,0.99,0.001,9.999883296181078,10,8192
2,2,2881.835615858097,0.015865200000007462,"[9, 11, 21, 19, 4, 10, 15, 1, 2, 5, 20, 18, 14, 22, 3, 17, 8, 0, 6, 7, 16, 13, 12]",geometric,10,0.99,0.001,9.998405621231864,10,8192
3,4,2907.257028883266,0.026561599999695318,"[9, 11, 10, 19, 4, 21, 15, 1, 2, 5, 20, 18, 7, 22, 3, 17, 8, 0, 6, 14, 16, 13, 12]",geometric,10,0.99,0.001,9.997330826279786,10,8192
4,8,3082.5749965366135,0.03754309999976613,"[9, 11, 10, 14, 4, 21, 15, 1, 2, 5, 20, 18, 22, 7, 3, 17, 8, 0, 6, 19, 16, 13, 12]",geometric,10,0.99,0.001,9.996227504125478,10,8192
5,16,3404.1678324316144,0.04854380000006131,"[9, 15, 10, 7, 4, 21, 13, 1, 2, 5, 20, 18, 22, 14, 3, 17, 8, 0, 6, 19, 16, 11, 12]",geometric,10,0.99,0.001,9.995122375012176,10,8192
6,32,3457.5754651237376,0.06070950000002995,"[9, 15, 10, 4, 7, 21, 13, 8, 2, 5, 20, 18, 22, 14, 3, 1, 17, 0, 6, 19, 16, 11, 12]",geometric,10,0.99,0.001,9.993900352396878,10,8192
7,64,3779.592961556839,0.07500389999995605,"[9, 7, 5, 16, 4, 21, 2, 8, 13, 17, 6, 18, 15, 14, 3, 1, 10, 0, 20, 19, 22, 11, 12]",geometric,10,0.99,0.001,9.992464696613645,10,8192
8,128,3979.0620653622514,0.0947292999999263,"[9, 7, 5, 16, 4, 21, 2, 17, 13, 8, 6, 18, 15, 19, 3, 1, 10, 20, 0, 14, 22, 11, 12]",geometric,10,0.99,0.001,9.990483917863806,10,8192
9,256,4044.017589108493,0.12434329999996407,"[9, 5, 7, 0, 4, 21, 2, 17, 13, 8, 6, 19, 15, 18, 10, 1, 3, 14, 16, 20, 22, 11, 12]",geometric,10,0.99,0.001,9.987510886136441,10,8192
10,512,4076.2306189680394,0.17292489999999816,"[11, 5, 9, 12, 7, 21, 2, 17, 13, 8, 3, 4, 15, 18, 10, 19, 0, 14, 16, 20, 22, 1, 6]",geometric,10,0.99,0.001,9.98263556043913,10,8192
11,1024,4142.769519019683,0.27273680000007516,"[7, 12, 9, 21, 18, 5, 2, 17, 13, 8, 3, 4, 15, 11, 10, 19, 0, 14, 16, 20, 6, 1, 22]",geometric,10,0.99,0.001,9.972626569349984,10,8192
12,2048,4142.769519019683,0.29772860000002765,"[7, 12, 9, 21, 18, 5, 2, 17, 13, 8, 3, 4, 15, 11, 10, 19, 0, 14, 16, 20, 6, 1, 22]",geometric,10,0.99,0.001,9.970121999619572,10,8192
13,4096,4142.769519019683,0.29772860000002765,"[7, 12, 9, 21, 18, 5, 2, 17, 13, 8, 3, 4, 15, 11, 10, 19, 0, 14, 16, 20, 6, 1, 22]",geometric,10,0.99,0.001,9.970121999619572,10,8192
14,8192,4142.769519019683,0.29772860000002765,"[7, 12, 9, 21, 18, 5, 2, 17, 13, 8, 3, 4, 15, 11, 10, 19, 0, 14, 16, 20, 6, 1, 22]",geometric,10,0.99,0.001,9.970121999619572,10,8192
