,Iteration,Time,Fitness,Temperature,max_iters
0,0,0.0001353999996354105,3935.5318328610847,10,8192
1,1,0.001271599999654427,4022.1527413814,10,8192
2,2,0.015271199999915552,4022.1527413814,10,8192
3,3,0.02414699999962977,4115.592784413143,10,8192
4,4,0.024338799999895855,4115.592784413143,10,8192
5,5,0.035195999999814376,4115.592784413143,10,8192
6,6,0.035366999999951076,4141.084340133871,10,8192
7,7,0.035533399999621906,4158.574574154318,10,8192
8,8,0.03569389999984196,4158.574574154318,10,8192
9,9,0.045447799999692506,4158.574574154318,10,8192
10,10,0.045576900000014575,4389.854469125716,10,8192
11,11,0.04574319999983345,4389.854469125716,10,8192
12,12,0.04585639999959312,4392.700262008236,10,8192
13,13,0.046013899999707064,4392.700262008236,10,8192
14,14,0.04612439999982598,4413.8993154360305,10,8192
15,15,0.0463528000000224,4450.006489985006,10,8192
16,16,0.046507199999723525,4458.545765168436,10,8192
17,17,0.05603499999961059,4538.635791960758,10,8192
18,18,0.056208199999673525,4538.635791960758,10,8192
19,19,0.05636869999989358,4538.635791960758,10,8192
20,20,0.05648329999985435,4538.635791960758,10,8192
21,21,0.056594899999709014,4538.635791960758,10,8192
22,22,0.05670479999980671,4538.635791960758,10,8192
23,23,0.056813899999724526,4538.635791960758,10,8192
24,24,0.0569217999995999,4538.635791960758,10,8192
25,25,0.05702999999994063,4540.028599230586,10,8192
26,26,0.057186300000012125,4550.724789510963,10,8192
27,27,0.057348699999693054,4550.724789510963,10,8192
28,28,0.057458799999949406,4550.724789510963,10,8192
29,29,0.05756789999986722,4550.724789510963,10,8192
30,30,0.057675799999742594,4605.117447897627,10,8192
31,31,0.05782939999971859,4605.117447897627,10,8192
32,32,0.05793809999977384,4667.272962631451,10,8192
33,33,0.06837989999985439,4667.272962631451,10,8192
34,34,0.06850959999974293,4667.272962631451,10,8192
35,35,0.06862719999980982,4667.272962631451,10,8192
36,36,0.0687444999998661,4667.272962631451,10,8192
37,37,0.06885759999977381,4667.272962631451,10,8192
38,38,0.06896829999959664,4667.272962631451,10,8192
39,39,0.06907799999999042,4667.272962631451,10,8192
40,40,0.06918939999968643,4667.272962631451,10,8192
41,41,0.06933719999960886,4667.272962631451,10,8192
42,42,0.06944649999968533,4667.272962631451,10,8192
43,43,0.06955500000003667,4667.272962631451,10,8192
44,44,0.06966220000003887,4674.468586651506,10,8192
45,45,0.06981679999989865,4681.222705358476,10,8192
46,46,0.06997149999961039,4681.222705358476,10,8192
47,47,0.07008019999966564,4681.222705358476,10,8192
48,48,0.07018739999966783,4833.885025710592,10,8192
49,49,0.0703801999998177,4833.885025710592,10,8192
50,50,0.07048789999998917,4833.885025710592,10,8192
51,51,0.07059570000001258,4924.103589710669,10,8192
52,52,0.0707484999998087,4989.684456905345,10,8192
53,53,0.07090139999991152,4989.684456905345,10,8192
54,54,0.07100859999991371,4989.684456905345,10,8192
55,55,0.07111579999991591,4989.684456905345,10,8192
