,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2194.472124332899,0.016980899999907706,"[2, 10, 8, 5, 1, 12, 6, 9, 3, 7, 15, 11, 0, 13, 14, 4]",300,0.03,2048
1,1,2640.1135124113757,0.06611720000000787,"[9, 14, 3, 8, 15, 1, 13, 2, 5, 7, 11, 0, 6, 10, 4, 12]",300,0.03,2048
2,2,2681.399114886093,0.13485470000000532,"[13, 1, 8, 15, 4, 3, 11, 0, 14, 10, 6, 7, 5, 2, 12, 9]",300,0.03,2048
3,4,2856.6375534821473,0.255396899999937,"[1, 12, 4, 10, 11, 5, 2, 6, 7, 8, 0, 9, 15, 13, 14, 3]",300,0.03,2048
4,8,2856.6375534821473,0.551255900000001,"[1, 12, 4, 10, 11, 5, 2, 6, 7, 8, 0, 9, 15, 13, 14, 3]",300,0.03,2048
5,16,2893.8349392988584,1.0023053999999547,"[1, 12, 4, 10, 14, 5, 2, 6, 7, 8, 0, 9, 15, 13, 11, 3]",300,0.03,2048
6,32,2893.8349392988584,1.814090599999986,"[1, 12, 4, 10, 14, 5, 2, 6, 7, 8, 0, 9, 15, 13, 11, 3]",300,0.03,2048
7,64,2960.777650425701,3.660285999999928,"[3, 4, 13, 8, 10, 1, 0, 14, 5, 2, 6, 7, 15, 9, 12, 11]",300,0.03,2048
8,128,2993.191628622714,6.85951399999999,"[3, 1, 13, 8, 10, 11, 0, 14, 15, 2, 5, 7, 6, 9, 12, 4]",300,0.03,2048
9,256,2994.300658701298,13.118551499999967,"[0, 1, 13, 8, 10, 11, 3, 14, 15, 9, 6, 7, 5, 2, 12, 4]",300,0.03,2048
10,512,2994.300658701298,22.318977399999994,"[0, 1, 13, 8, 10, 11, 3, 14, 15, 9, 6, 7, 5, 2, 12, 4]",300,0.03,2048
11,1024,2994.300658701298,22.318977399999994,"[0, 1, 13, 8, 10, 11, 3, 14, 15, 9, 6, 7, 5, 2, 12, 4]",300,0.03,2048
12,2048,2994.300658701298,22.318977399999994,"[0, 1, 13, 8, 10, 11, 3, 14, 15, 9, 6, 7, 5, 2, 12, 4]",300,0.03,2048
