,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,3890.8835858914135,0.00016880000021046726,"[10, 24, 12, 11, 25, 15, 1, 3, 18, 21, 9, 23, 5, 27, 2, 22, 14, 28, 26, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",25,2048,0
1,1,3935.5318328610847,0.001299600000038481,"[10, 24, 12, 11, 25, 15, 1, 22, 18, 21, 9, 23, 5, 27, 2, 3, 14, 28, 26, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",25,2048,0
2,2,4022.1527413814,0.014484499999980471,"[10, 24, 12, 11, 25, 15, 1, 22, 18, 21, 9, 23, 5, 27, 14, 3, 2, 28, 26, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",25,2048,0
3,4,4022.1527413814,0.02389499999981126,"[10, 24, 12, 11, 25, 15, 1, 22, 18, 21, 9, 23, 5, 27, 14, 3, 2, 28, 26, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",25,2048,0
4,8,4186.86280910496,0.035318199999892386,"[10, 24, 12, 11, 25, 15, 1, 22, 18, 21, 9, 23, 5, 27, 14, 3, 2, 28, 26, 8, 17, 7, 6, 19, 0, 16, 20, 13, 4]",25,2048,0
5,16,4444.016148518605,0.046113599999898724,"[10, 24, 11, 12, 25, 15, 1, 22, 18, 21, 9, 23, 5, 27, 14, 3, 2, 28, 26, 8, 17, 7, 13, 19, 0, 16, 20, 6, 4]",25,2048,0
6,32,4666.801992920557,0.05740009999999529,"[10, 24, 11, 3, 25, 15, 16, 22, 19, 21, 9, 23, 5, 27, 4, 28, 2, 12, 26, 8, 17, 7, 13, 18, 0, 1, 20, 6, 14]",25,2048,0
7,64,4766.760131082158,0.07142539999995279,"[10, 13, 11, 3, 25, 15, 19, 22, 16, 27, 28, 23, 5, 21, 4, 17, 2, 12, 9, 8, 26, 7, 24, 18, 0, 1, 20, 6, 14]",25,2048,0
8,128,4998.7101876095585,0.08966270000018994,"[10, 13, 4, 3, 9, 15, 19, 22, 16, 27, 17, 25, 5, 8, 1, 28, 2, 12, 23, 21, 26, 7, 24, 18, 0, 11, 20, 6, 14]",25,2048,0
9,256,5093.74405377793,0.11520370000016555,"[28, 13, 4, 3, 9, 15, 19, 22, 16, 27, 20, 8, 5, 25, 1, 10, 11, 12, 23, 21, 17, 26, 24, 18, 0, 2, 7, 6, 14]",25,2048,0
10,512,5185.943471291082,0.16822170000023107,"[28, 13, 9, 3, 25, 15, 19, 22, 16, 27, 17, 8, 0, 23, 2, 10, 18, 24, 4, 21, 20, 14, 12, 11, 5, 1, 7, 6, 26]",25,2048,0
11,1024,5185.943471291082,0.2041084000002229,"[28, 13, 9, 3, 25, 15, 19, 22, 16, 27, 17, 8, 0, 23, 2, 10, 18, 24, 4, 21, 20, 14, 12, 11, 5, 1, 7, 6, 26]",25,2048,0
12,2048,5185.943471291082,0.2041084000002229,"[28, 13, 9, 3, 25, 15, 19, 22, 16, 27, 17, 8, 0, 23, 2, 10, 18, 24, 4, 21, 20, 14, 12, 11, 5, 1, 7, 6, 26]",25,2048,0
13,0,3763.246683046266,0.21959779999997409,"[27, 26, 14, 8, 15, 11, 19, 20, 25, 21, 2, 28, 6, 0, 1, 18, 16, 23, 3, 12, 4, 22, 7, 24, 17, 5, 10, 13, 9]",25,2048,1
14,1,3984.4723184291997,0.22122609999996712,"[27, 26, 14, 8, 15, 11, 19, 20, 25, 21, 2, 28, 6, 0, 5, 18, 16, 23, 3, 12, 4, 22, 7, 24, 17, 1, 10, 13, 9]",25,2048,1
15,2,4177.941616350536,0.23735160000023825,"[27, 26, 14, 8, 20, 11, 19, 15, 25, 21, 2, 28, 6, 0, 5, 18, 16, 23, 3, 12, 4, 22, 7, 24, 17, 1, 10, 13, 9]",25,2048,1
16,4,4244.6251578430265,0.25259330000017144,"[27, 26, 23, 8, 20, 11, 19, 15, 25, 21, 2, 28, 6, 0, 5, 18, 16, 14, 3, 12, 4, 22, 7, 24, 17, 1, 10, 13, 9]",25,2048,1
17,8,4739.274856902963,0.2688358000000335,"[12, 26, 0, 8, 17, 11, 19, 15, 25, 21, 2, 28, 6, 23, 5, 18, 16, 14, 3, 27, 4, 22, 7, 24, 20, 1, 10, 13, 9]",25,2048,1
