,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,4490.680427555874,0.0001368000002912595,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 5, 28, 2, 22, 14, 29, 27, 8, 17, 0, 6, 23, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.999986251149975,10,8192
1,1,4490.680427555874,0.0014644000002590474,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 5, 28, 2, 22, 14, 29, 27, 8, 17, 0, 6, 23, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.999852823964785,10,8192
2,2,4490.680427555874,0.014719300000251678,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 5, 28, 2, 22, 14, 29, 27, 8, 17, 0, 6, 23, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.9985207703315,10,8192
3,4,4500.796520188874,0.026127400000405032,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 2, 28, 5, 22, 14, 29, 27, 8, 17, 0, 6, 23, 19, 7, 20, 16, 13, 4]",geometric,10,0.99,0.001,9.99737445328529,10,8192
4,8,4641.330557863683,0.0374312000003556,"[10, 25, 12, 19, 26, 15, 1, 3, 18, 21, 9, 24, 2, 20, 5, 22, 14, 29, 27, 8, 17, 0, 6, 23, 11, 7, 28, 16, 13, 4]",geometric,10,0.99,0.001,9.996238746214889,10,8192
5,16,4800.336222394497,0.048029399999904854,"[10, 14, 12, 19, 26, 15, 1, 3, 18, 21, 9, 24, 2, 20, 25, 27, 5, 29, 22, 8, 7, 0, 6, 23, 11, 17, 28, 16, 13, 4]",geometric,10,0.99,0.001,9.995174048856597,10,8192
6,32,4821.626701753738,0.06027020000055927,"[20, 14, 12, 19, 26, 15, 1, 3, 11, 21, 9, 24, 23, 10, 25, 27, 5, 29, 22, 8, 7, 0, 6, 2, 18, 17, 28, 16, 13, 4]",geometric,10,0.99,0.001,9.993944476689006,10,8192
7,64,4917.30182277379,0.07430160000058095,"[10, 18, 12, 19, 26, 15, 1, 3, 23, 20, 9, 5, 11, 21, 29, 27, 24, 25, 22, 8, 7, 13, 6, 2, 14, 17, 28, 16, 0, 4]",geometric,10,0.99,0.001,9.99253522718438,10,8192
8,128,5217.974673062775,0.09318160000020725,"[10, 11, 12, 19, 26, 15, 29, 3, 23, 0, 2, 21, 18, 5, 1, 27, 20, 25, 22, 4, 7, 16, 28, 13, 9, 17, 6, 14, 24, 8]",geometric,10,0.99,0.001,9.99063932009866,10,8192
9,256,5299.9063118328195,0.12217820000023494,"[12, 11, 10, 16, 26, 15, 29, 3, 23, 0, 18, 21, 9, 24, 1, 27, 20, 25, 22, 4, 13, 2, 28, 7, 19, 17, 6, 14, 5, 8]",geometric,10,0.99,0.001,9.987728216559628,10,8192
10,512,5320.8145146832485,0.1832404000006136,"[12, 9, 10, 16, 26, 15, 29, 24, 25, 0, 18, 21, 2, 3, 1, 27, 20, 8, 22, 4, 13, 11, 28, 17, 19, 7, 6, 14, 5, 23]",geometric,10,0.99,0.001,9.981600671935732,10,8192
11,1024,5352.177021586151,0.28482460000032006,"[13, 9, 21, 16, 26, 15, 14, 22, 25, 0, 11, 10, 2, 3, 1, 27, 17, 8, 5, 18, 12, 23, 28, 20, 19, 7, 6, 29, 24, 4]",geometric,10,0.99,0.001,9.971415103943373,10,8192
12,2048,5352.177021586151,0.31423369999993156,"[13, 9, 21, 16, 26, 15, 14, 22, 25, 0, 11, 10, 2, 3, 1, 27, 17, 8, 5, 18, 12, 23, 28, 20, 19, 7, 6, 29, 24, 4]",geometric,10,0.99,0.001,9.968468275018255,10,8192
13,4096,5352.177021586151,0.31423369999993156,"[13, 9, 21, 16, 26, 15, 14, 22, 25, 0, 11, 10, 2, 3, 1, 27, 17, 8, 5, 18, 12, 23, 28, 20, 19, 7, 6, 29, 24, 4]",geometric,10,0.99,0.001,9.968468275018255,10,8192
14,8192,5352.177021586151,0.31423369999993156,"[13, 9, 21, 16, 26, 15, 14, 22, 25, 0, 11, 10, 2, 3, 1, 27, 17, 8, 5, 18, 12, 23, 28, 20, 19, 7, 6, 29, 24, 4]",geometric,10,0.99,0.001,9.968468275018255,10,8192
