,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,2437.8575586495344,0.01651310000011108,"[2, 10, 14, 12, 15, 9, 1, 8, 5, 0, 6, 17, 3, 7, 18, 11, 16, 13, 4]",False,300,0.2,2048
1,1,3074.9853722978664,0.5098097000000053,"[8, 5, 17, 14, 2, 10, 18, 4, 6, 11, 12, 1, 0, 3, 7, 15, 16, 9, 13]",False,300,0.2,2048
2,2,3127.500930412707,1.051129200000105,"[2, 15, 9, 6, 8, 13, 18, 3, 14, 7, 1, 0, 5, 17, 11, 12, 4, 16, 10]",False,300,0.2,2048
3,4,3180.8329999619664,2.1083648000001176,"[17, 9, 6, 4, 12, 8, 13, 15, 18, 7, 16, 11, 0, 5, 14, 3, 1, 10, 2]",False,300,0.2,2048
4,8,3257.664373965227,4.346740500000124,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
5,16,3257.664373965227,8.355333600000222,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
6,32,3257.664373965227,16.48295280000002,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
7,64,3257.664373965227,33.1995852,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
8,128,3257.664373965227,66.00473380000017,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
9,256,3257.664373965227,103.45303330000002,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
10,512,3257.664373965227,103.45303330000002,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
11,1024,3257.664373965227,103.45303330000002,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
12,2048,3257.664373965227,103.45303330000002,"[1, 14, 10, 16, 2, 0, 5, 7, 8, 13, 18, 17, 3, 4, 12, 9, 6, 11, 15]",False,300,0.2,2048
