,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
0,0,0.019646699999611883,4717.771855056504,300,0.03,2048
1,1,0.07992599999943195,4717.771855056504,300,0.03,2048
2,2,0.15400619999945775,4717.771855056504,300,0.03,2048
3,3,0.22192180000001827,4733.859364022019,300,0.03,2048
4,4,0.28332749999935913,4897.175007708809,300,0.03,2048
5,5,0.35400989999925514,4897.175007708809,300,0.03,2048
6,6,0.41561909999927593,4912.363807163569,300,0.03,2048
7,7,0.5000891999998203,4978.467729436714,300,0.03,2048
8,8,0.57623650000005,4985.2449771532665,300,0.03,2048
9,9,0.667853599999944,5034.167816002886,300,0.03,2048
10,10,0.7334194999993997,5034.167816002886,300,0.03,2048
11,11,0.7929835999993884,5034.167816002886,300,0.03,2048
12,12,0.8541442999994615,5034.167816002886,300,0.03,2048
13,13,0.9151888999995208,5044.437046825573,300,0.03,2048
14,14,0.9771711999992476,5044.538024996882,300,0.03,2048
15,15,1.0391430999998192,5110.392595711521,300,0.03,2048
16,16,1.0984472999998616,5110.392595711521,300,0.03,2048
17,17,1.1666981999997006,5110.392595711521,300,0.03,2048
18,18,1.2257044999996651,5137.589717192761,300,0.03,2048
19,19,1.2882856999995056,5137.589717192761,300,0.03,2048
20,20,1.348420399999668,5200.96576268666,300,0.03,2048
21,21,1.4096930999994584,5200.96576268666,300,0.03,2048
22,22,1.4718923999998879,5200.96576268666,300,0.03,2048
23,23,1.5410527999993064,5200.96576268666,300,0.03,2048
24,24,1.601930099999663,5200.96576268666,300,0.03,2048
25,25,1.6626008999992337,5200.96576268666,300,0.03,2048
26,26,1.7239043999998103,5247.674397059134,300,0.03,2048
27,27,1.7825655999995433,5255.477340633724,300,0.03,2048
28,28,1.840428499999689,5255.477340633724,300,0.03,2048
29,29,1.8995798999994804,5255.477340633724,300,0.03,2048
30,30,1.9572726999995211,5255.477340633724,300,0.03,2048
31,31,2.015409599999657,5255.477340633724,300,0.03,2048
32,32,2.0772715999992215,5255.477340633724,300,0.03,2048
33,33,2.1523090000000593,5255.477340633724,300,0.03,2048
34,34,2.212191999999959,5255.477340633724,300,0.03,2048
35,35,2.2716813999995793,5255.477340633724,300,0.03,2048
36,36,2.331867599999896,5255.477340633724,300,0.03,2048
37,37,2.395883700000013,5323.7191692397955,300,0.03,2048
38,38,2.4590400999995836,5323.7191692397955,300,0.03,2048
39,39,2.5214694999995118,5323.7191692397955,300,0.03,2048
40,40,2.5846420999996553,5323.7191692397955,300,0.03,2048
41,41,2.6479952999998204,5328.211313507757,300,0.03,2048
42,42,2.709843099999489,5328.211313507757,300,0.03,2048
43,43,2.7723501000000397,5328.211313507757,300,0.03,2048
44,44,2.8325882999997702,5353.169898343483,300,0.03,2048
45,45,2.8923222999992504,5359.170270224539,300,0.03,2048
46,46,2.9529962999995405,5359.170270224539,300,0.03,2048
47,47,3.012357699999484,5359.170270224539,300,0.03,2048
48,48,3.0735117999993236,5359.170270224539,300,0.03,2048
49,49,3.139127699999335,5359.170270224539,300,0.03,2048
50,50,3.20489169999928,5359.170270224539,300,0.03,2048
51,51,3.2718663999994533,5359.170270224539,300,0.03,2048
52,52,3.3361873999992895,5399.557006470315,300,0.03,2048
53,53,3.4058079999995243,5399.557006470315,300,0.03,2048
54,54,3.4676096999992296,5399.557006470315,300,0.03,2048
55,55,3.5454087999996773,5399.557006470315,300,0.03,2048
56,56,3.614661900000101,5399.557006470315,300,0.03,2048
57,57,3.683004799999253,5399.557006470315,300,0.03,2048
58,58,3.7514768999999433,5399.557006470315,300,0.03,2048
59,59,3.816072399999939,5426.314302900592,300,0.03,2048
60,60,3.877222399999482,5426.314302900592,300,0.03,2048
61,61,3.9404913999997007,5426.314302900592,300,0.03,2048
62,62,4.000213299999814,5426.314302900592,300,0.03,2048
63,63,4.0661113999994996,5426.314302900592,300,0.03,2048
64,64,4.126702699999441,5426.737482222796,300,0.03,2048
65,65,4.197091199999704,5426.737482222796,300,0.03,2048
