,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,1633.0153712778551,0.014962600000004045,"[2, 8, 6, 5, 1, 9, 3, 7, 10, 0, 4]",False,300,0.2,2048
1,1,2075.521042741085,0.3234906999999936,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
2,2,2075.521042741085,0.6203809999999947,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
3,4,2075.521042741085,1.201196600000003,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
4,8,2075.521042741085,2.5039821000000018,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
5,16,2075.521042741085,4.926226799999995,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
6,32,2075.521042741085,9.275802600000006,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
7,64,2075.521042741085,18.2671098,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
8,128,2075.521042741085,35.7114119,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
9,256,2075.521042741085,56.59905699999999,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
10,512,2075.521042741085,56.59905699999999,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
11,1024,2075.521042741085,56.59905699999999,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
12,2048,2075.521042741085,56.59905699999999,"[8, 10, 7, 1, 0, 2, 5, 4, 3, 9, 6]",False,300,0.2,2048
