,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.01639400000021851,4195.458764410523,False,300,0.2,2048
1,1,0.8281977000001461,4246.169244522372,False,300,0.2,2048
2,2,1.6145072999997865,4346.314432134962,False,300,0.2,2048
3,3,2.35978810000006,4416.975703130795,False,300,0.2,2048
4,4,3.0768309999998564,4491.858401355758,False,300,0.2,2048
5,5,3.896521699999994,4594.004920313549,False,300,0.2,2048
6,6,4.741717200000039,4594.004920313549,False,300,0.2,2048
7,7,5.474256500000138,4594.004920313549,False,300,0.2,2048
8,8,6.199178200000006,4594.004920313549,False,300,0.2,2048
9,9,7.008861799999977,4594.004920313549,False,300,0.2,2048
10,10,7.814223800000036,4594.004920313549,False,300,0.2,2048
11,11,8.526738699999896,4594.004920313549,False,300,0.2,2048
12,12,9.23737919999985,4594.004920313549,False,300,0.2,2048
13,13,10.013441200000216,4594.004920313549,False,300,0.2,2048
14,14,10.727192100000138,4594.004920313549,False,300,0.2,2048
15,15,11.434759100000065,4594.004920313549,False,300,0.2,2048
16,16,12.269892899999832,4594.004920313549,False,300,0.2,2048
17,17,13.048622599999817,4594.004920313549,False,300,0.2,2048
18,18,13.837237600000208,4594.004920313549,False,300,0.2,2048
19,19,14.5756365000002,4594.004920313549,False,300,0.2,2048
20,20,15.324414700000034,4594.004920313549,False,300,0.2,2048
21,21,16.03977840000016,4594.004920313549,False,300,0.2,2048
22,22,16.777494500000103,4594.004920313549,False,300,0.2,2048
23,23,17.67425370000001,4594.004920313549,False,300,0.2,2048
24,24,18.404725100000178,4594.004920313549,False,300,0.2,2048
25,25,19.124376599999778,4594.004920313549,False,300,0.2,2048
26,26,19.99557790000017,4594.004920313549,False,300,0.2,2048
27,27,20.913859899999807,4594.004920313549,False,300,0.2,2048
28,28,21.85660169999983,4594.004920313549,False,300,0.2,2048
29,29,22.72698020000007,4594.004920313549,False,300,0.2,2048
30,30,23.485085700000127,4594.004920313549,False,300,0.2,2048
31,31,24.43078199999991,4594.004920313549,False,300,0.2,2048
32,32,25.29584849999992,4594.004920313549,False,300,0.2,2048
33,33,26.03645039999992,4594.004920313549,False,300,0.2,2048
34,34,26.742173399999956,4594.004920313549,False,300,0.2,2048
35,35,27.534174999999777,4594.004920313549,False,300,0.2,2048
36,36,28.357196999999815,4594.004920313549,False,300,0.2,2048
37,37,29.158075899999858,4594.004920313549,False,300,0.2,2048
38,38,29.872479099999964,4594.004920313549,False,300,0.2,2048
39,39,30.641821300000174,4594.004920313549,False,300,0.2,2048
40,40,31.373399999999947,4594.004920313549,False,300,0.2,2048
41,41,32.096757100000104,4594.004920313549,False,300,0.2,2048
42,42,32.82164849999981,4594.004920313549,False,300,0.2,2048
43,43,33.58130100000017,4594.004920313549,False,300,0.2,2048
44,44,34.306508499999836,4594.004920313549,False,300,0.2,2048
45,45,35.03437299999996,4594.004920313549,False,300,0.2,2048
