,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2170.402957280756,0.015636999999969703,"[2, 10, 8, 5, 1, 12, 6, 9, 3, 7, 13, 11, 0, 4]",300,0.03,2048
1,1,2458.8171445033245,0.06137619999998378,"[2, 6, 11, 0, 7, 4, 13, 3, 1, 12, 8, 5, 9, 10]",300,0.03,2048
2,2,2458.8171445033245,0.1289003999999636,"[2, 6, 11, 0, 7, 4, 13, 3, 1, 12, 8, 5, 9, 10]",300,0.03,2048
3,4,2466.1705498390206,0.23919489999997268,"[10, 2, 5, 1, 12, 8, 13, 3, 11, 6, 9, 7, 0, 4]",300,0.03,2048
4,8,2504.6341868489258,0.443173599999966,"[10, 0, 8, 5, 1, 6, 7, 2, 12, 9, 13, 4, 3, 11]",300,0.03,2048
5,16,2604.95921494918,0.8514683999999875,"[2, 6, 9, 10, 0, 8, 5, 1, 12, 7, 11, 3, 4, 13]",300,0.03,2048
6,32,2637.047528945646,1.6040691000000038,"[2, 6, 9, 10, 4, 13, 5, 1, 12, 8, 0, 7, 11, 3]",300,0.03,2048
7,64,2637.7797639408977,3.2547773000000007,"[2, 6, 9, 10, 4, 13, 0, 8, 12, 1, 5, 7, 11, 3]",300,0.03,2048
8,128,2641.4194502041883,6.911856599999965,"[2, 6, 11, 10, 4, 7, 5, 8, 12, 1, 0, 13, 9, 3]",300,0.03,2048
9,256,2641.43947776609,14.118912799999976,"[2, 6, 11, 10, 4, 7, 5, 1, 12, 8, 0, 13, 9, 3]",300,0.03,2048
10,512,2641.43947776609,17.990400499999964,"[2, 6, 11, 10, 4, 7, 5, 1, 12, 8, 0, 13, 9, 3]",300,0.03,2048
11,1024,2641.43947776609,17.990400499999964,"[2, 6, 11, 10, 4, 7, 5, 1, 12, 8, 0, 13, 9, 3]",300,0.03,2048
12,2048,2641.43947776609,17.990400499999964,"[2, 6, 11, 10, 4, 7, 5, 1, 12, 8, 0, 13, 9, 3]",300,0.03,2048
