,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
31,16,2.0,0.38506379999999996,"[1, 3, 1, 1, 0, 2, 0, 3, 3, 0, 2, 1, 2, 0, 2, 3, 3, 1, 1, 1]",150,0.03,2048
32,32,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
33,64,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
34,128,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
35,256,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
36,512,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
37,1024,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
38,2048,0.0,0.5667217,"[0, 2, 1, 0, 1, 0, 0, 3, 3, 0, 3, 1, 2, 2, 3, 3, 2, 1, 3, 2]",150,0.03,2048
39,0,15.0,0.007996399999999904,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.1,2048
40,1,5.0,0.02898619999999985,"[1, 0, 3, 0, 2, 2, 2, 3, 2, 2, 3, 3, 3, 0, 3, 3, 1, 0, 3, 0]",150,0.1,2048
41,2,4.0,0.06502989999999986,"[2, 2, 0, 3, 1, 2, 0, 3, 1, 3, 1, 2, 2, 1, 0, 3, 3, 1, 2, 2]",150,0.1,2048
42,4,2.0,0.12444900000000003,"[2, 1, 2, 0, 0, 0, 1, 3, 1, 3, 2, 0, 2, 1, 1, 3, 3, 0, 2, 1]",150,0.1,2048
43,8,2.0,0.2372634,"[2, 1, 2, 0, 0, 0, 1, 3, 1, 3, 2, 0, 2, 1, 1, 3, 3, 0, 2, 1]",150,0.1,2048
44,16,1.0,0.4108129999999999,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 1, 3, 0, 1, 1, 1, 1, 2]",150,0.1,2048
45,32,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
46,64,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
47,128,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
48,256,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
49,512,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
50,1024,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
51,2048,0.0,0.5568642999999998,"[2, 2, 2, 3, 3, 0, 3, 1, 0, 3, 1, 0, 2, 3, 0, 1, 1, 0, 1, 2]",150,0.1,2048
52,0,15.0,0.00800069999999975,"[0, 2, 1, 0, 3, 0, 3, 3, 3, 2, 0, 1, 1, 1, 0, 0, 3, 3, 0, 3]",150,0.2,2048
53,1,3.0,0.03434230000000005,"[0, 2, 1, 0, 0, 2, 2, 3, 1, 3, 3, 0, 0, 3, 2, 3, 0, 1, 3, 0]",150,0.2,2048
54,2,2.0,0.06728800000000001,"[0, 2, 2, 0, 1, 2, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 0, 1, 0, 0]",150,0.2,2048
55,4,2.0,0.12554169999999987,"[0, 2, 2, 0, 1, 2, 1, 3, 1, 3, 3, 0, 0, 1, 2, 3, 0, 1, 0, 0]",150,0.2,2048
