,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
36,512,4.0,1.513760099999672,"[12, 17, 3, 1, 18, 9, 19, 2, 11, 17, 19, 5, 8, 15, 7, 6, 16, 0, 17, 4]",25,2048,2
37,1024,4.0,1.513760099999672,"[12, 17, 3, 1, 18, 9, 19, 2, 11, 17, 19, 5, 8, 15, 7, 6, 16, 0, 17, 4]",25,2048,2
38,2048,4.0,1.513760099999672,"[12, 17, 3, 1, 18, 9, 19, 2, 11, 17, 19, 5, 8, 15, 7, 6, 16, 0, 17, 4]",25,2048,2
39,0,18.0,1.5432484999996632,"[10, 8, 12, 12, 0, 19, 14, 14, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
40,1,18.0,1.5458175999997366,"[10, 8, 12, 12, 0, 19, 14, 14, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
41,2,18.0,1.5757119999998395,"[10, 8, 12, 12, 0, 19, 14, 14, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
42,4,18.0,1.6045681000000513,"[10, 8, 12, 12, 0, 19, 14, 14, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
43,8,15.0,1.6303192000000308,"[10, 8, 12, 12, 0, 19, 14, 9, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
44,16,15.0,1.6616151999996873,"[10, 8, 12, 12, 0, 19, 14, 9, 16, 9, 4, 6, 10, 8, 11, 7, 13, 14, 5, 2]",25,2048,3
45,32,12.0,1.7024177999996937,"[3, 8, 12, 12, 0, 19, 14, 9, 16, 9, 4, 6, 10, 8, 11, 7, 13, 11, 5, 2]",25,2048,3
46,64,7.0,1.7624385999997685,"[3, 8, 12, 12, 0, 19, 14, 9, 16, 9, 0, 6, 10, 18, 5, 7, 13, 11, 5, 2]",25,2048,3
47,128,6.0,1.8265195999997559,"[3, 8, 12, 12, 0, 19, 14, 9, 1, 9, 0, 6, 10, 18, 5, 7, 13, 11, 5, 2]",25,2048,3
48,256,5.0,1.964433099999951,"[3, 8, 12, 12, 0, 19, 14, 9, 1, 9, 0, 6, 10, 18, 5, 7, 13, 11, 17, 2]",25,2048,3
49,512,5.0,2.1108925999997155,"[3, 8, 12, 12, 0, 19, 14, 9, 1, 9, 0, 6, 10, 18, 5, 7, 13, 11, 17, 2]",25,2048,3
50,1024,5.0,2.1108925999997155,"[3, 8, 12, 12, 0, 19, 14, 9, 1, 9, 0, 6, 10, 18, 5, 7, 13, 11, 17, 2]",25,2048,3
51,2048,5.0,2.1108925999997155,"[3, 8, 12, 12, 0, 19, 14, 9, 1, 9, 0, 6, 10, 18, 5, 7, 13, 11, 17, 2]",25,2048,3
52,0,16.0,2.149417099999937,"[1, 17, 7, 14, 16, 5, 4, 1, 2, 0, 15, 18, 3, 8, 3, 12, 19, 5, 0, 10]",25,2048,4
53,1,15.0,2.1530166999996254,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 3, 12, 19, 5, 0, 10]",25,2048,4
54,2,14.0,2.195387799999935,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 13, 12, 19, 5, 0, 10]",25,2048,4
55,4,12.0,2.2268452999996953,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
56,8,12.0,2.274551199999678,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
57,16,12.0,2.3156199000000015,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
58,32,12.0,2.362739299999703,"[1, 17, 7, 14, 16, 15, 4, 1, 2, 0, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
59,64,8.0,2.4276929999996355,"[6, 17, 7, 14, 16, 11, 4, 1, 2, 5, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
60,128,7.0,2.5124346999996305,"[6, 17, 7, 14, 16, 11, 4, 1, 18, 5, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
61,256,6.0,2.634383799999796,"[6, 17, 7, 14, 16, 11, 4, 1, 18, 2, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
62,512,6.0,2.7399247999996987,"[6, 17, 7, 14, 16, 11, 4, 1, 18, 2, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
63,1024,6.0,2.7399247999996987,"[6, 17, 7, 14, 16, 11, 4, 1, 18, 2, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
64,2048,6.0,2.7399247999996987,"[6, 17, 7, 14, 16, 11, 4, 1, 18, 2, 15, 18, 3, 8, 13, 12, 19, 5, 0, 19]",25,2048,4
65,0,16.0,2.7822309999996833,"[9, 19, 7, 17, 19, 0, 16, 15, 12, 8, 19, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
66,1,16.0,2.7842886999997063,"[9, 19, 7, 17, 19, 0, 16, 15, 12, 8, 19, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
67,2,16.0,2.815171199999895,"[9, 19, 7, 17, 19, 0, 16, 15, 12, 8, 19, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
68,4,14.0,2.8469522000000325,"[9, 19, 7, 17, 19, 0, 16, 15, 12, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
69,8,12.0,2.881300199999714,"[9, 19, 7, 17, 19, 0, 16, 15, 4, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
70,16,9.0,2.9178963999997904,"[9, 19, 7, 17, 10, 0, 16, 0, 4, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
71,32,8.0,2.967361600000004,"[9, 19, 7, 17, 6, 0, 16, 0, 4, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
72,64,8.0,3.023608499999682,"[9, 19, 7, 17, 6, 0, 16, 0, 4, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
73,128,7.0,3.0961500999997043,"[9, 5, 7, 17, 6, 0, 16, 0, 4, 8, 18, 1, 11, 13, 15, 3, 10, 2, 12, 16]",25,2048,5
74,256,4.0,3.2201295999998365,"[9, 5, 19, 17, 6, 0, 16, 0, 4, 7, 18, 1, 11, 13, 15, 3, 10, 2, 12, 8]",25,2048,5
75,512,4.0,3.3868271999999706,"[9, 5, 19, 17, 6, 0, 16, 0, 4, 7, 18, 1, 11, 13, 15, 3, 10, 2, 12, 8]",25,2048,5
76,1024,4.0,3.3868271999999706,"[9, 5, 19, 17, 6, 0, 16, 0, 4, 7, 18, 1, 11, 13, 15, 3, 10, 2, 12, 8]",25,2048,5
77,2048,4.0,3.3868271999999706,"[9, 5, 19, 17, 6, 0, 16, 0, 4, 7, 18, 1, 11, 13, 15, 3, 10, 2, 12, 8]",25,2048,5
