,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,3736.606873890741,0.020701500000086526,"[26, 22, 23, 10, 11, 1, 15, 12, 24, 9, 18, 5, 2, 21, 14, 3, 27, 25, 8, 17, 0, 6, 19, 7, 20, 16, 13, 4]",300,0.03,2048
1,1,4183.461851633135,0.08834320000005391,"[4, 10, 9, 13, 3, 24, 27, 23, 11, 19, 5, 8, 25, 15, 18, 0, 6, 16, 21, 26, 22, 2, 14, 1, 17, 12, 20, 7]",300,0.03,2048
2,2,4206.230717308724,0.1659417000000758,"[20, 4, 0, 11, 16, 3, 9, 10, 1, 5, 8, 27, 13, 18, 17, 2, 12, 21, 25, 22, 19, 26, 6, 23, 24, 7, 15, 14]",300,0.03,2048
3,4,4404.199782228646,0.2842902000002141,"[21, 23, 18, 19, 13, 16, 10, 14, 6, 26, 8, 0, 20, 11, 5, 1, 22, 4, 12, 17, 3, 25, 24, 2, 27, 7, 9, 15]",300,0.03,2048
4,8,4569.3797827080925,0.5170872000003328,"[21, 23, 18, 19, 13, 16, 10, 14, 6, 26, 8, 0, 20, 11, 5, 1, 22, 4, 12, 17, 3, 25, 24, 2, 15, 7, 27, 9]",300,0.03,2048
5,16,4715.157356731984,1.0175742999999784,"[16, 21, 23, 18, 27, 13, 9, 24, 2, 17, 19, 15, 4, 20, 0, 11, 7, 10, 8, 22, 25, 5, 14, 6, 26, 3, 1, 12]",300,0.03,2048
6,32,4781.875614774024,1.8906489000000875,"[7, 20, 10, 16, 15, 18, 12, 8, 24, 19, 17, 14, 21, 23, 13, 9, 2, 27, 4, 0, 11, 3, 1, 5, 25, 22, 26, 6]",300,0.03,2048
7,64,4877.788096773123,3.6772177000002557,"[16, 21, 23, 18, 27, 7, 13, 9, 24, 2, 17, 19, 10, 14, 20, 0, 1, 12, 11, 22, 8, 3, 25, 6, 26, 15, 4, 5]",300,0.03,2048
8,128,4896.922306570929,7.420665900000131,"[16, 21, 23, 18, 27, 7, 13, 9, 17, 19, 24, 2, 6, 14, 20, 0, 1, 12, 11, 22, 8, 3, 25, 10, 26, 15, 4, 5]",300,0.03,2048
9,256,4964.295329694438,14.940888800000266,"[19, 21, 9, 5, 1, 7, 13, 23, 17, 16, 6, 2, 24, 14, 20, 0, 8, 12, 11, 3, 18, 22, 25, 15, 4, 27, 26, 10]",300,0.03,2048
10,512,4982.893922131986,30.978404400000272,"[19, 24, 16, 6, 2, 5, 4, 7, 13, 23, 17, 9, 21, 14, 20, 0, 8, 3, 18, 12, 11, 22, 25, 15, 1, 27, 26, 10]",300,0.03,2048
11,1024,4985.179428620056,47.92614709999998,"[16, 24, 19, 6, 2, 5, 4, 7, 21, 9, 17, 14, 13, 23, 20, 0, 18, 3, 8, 12, 11, 22, 25, 15, 1, 27, 26, 10]",300,0.03,2048
12,2048,4985.179428620056,47.92614709999998,"[16, 24, 19, 6, 2, 5, 4, 7, 21, 9, 17, 14, 13, 23, 20, 0, 18, 3, 8, 12, 11, 22, 25, 15, 1, 27, 26, 10]",300,0.03,2048
