,Iteration,Time,Fitness,Population Size,Mutation Rate,max_iters
114,114,1.1309149,18.0,150,0.02,2048
115,115,1.1389112000000001,18.0,150,0.02,2048
116,116,1.1472558,18.0,150,0.02,2048
117,117,1.1554044,18.0,150,0.02,2048
118,118,1.165561,18.0,150,0.02,2048
119,119,1.1773819,18.0,150,0.02,2048
120,120,1.1858676000000001,18.0,150,0.02,2048
121,121,1.1941107,18.0,150,0.02,2048
122,122,1.2022518,18.0,150,0.02,2048
123,123,1.2104207,18.0,150,0.02,2048
124,124,1.2183996000000001,18.0,150,0.02,2048
125,125,1.2264075,18.0,150,0.02,2048
126,126,1.2364466,18.0,150,0.02,2048
127,127,1.2456439000000001,18.0,150,0.02,2048
128,128,1.2588166,18.0,150,0.02,2048
129,129,1.2737597,18.0,150,0.02,2048
130,130,1.2863405,18.0,150,0.02,2048
131,131,1.2991038000000001,18.0,150,0.02,2048
132,132,1.3118298,18.0,150,0.02,2048
133,133,1.3253176,18.0,150,0.02,2048
134,134,1.3357802,18.0,150,0.02,2048
135,135,1.3469947,18.0,150,0.02,2048
136,136,1.3551847000000001,18.0,150,0.02,2048
137,137,1.3704388,18.0,150,0.02,2048
138,138,1.3976297,18.0,150,0.02,2048
139,139,1.4099494000000001,18.0,150,0.02,2048
140,140,1.4218747,18.0,150,0.02,2048
141,141,1.4340738,18.0,150,0.02,2048
142,142,1.4462419,18.0,150,0.02,2048
143,143,1.4585937,18.0,150,0.02,2048
144,144,1.4694933000000001,18.0,150,0.02,2048
145,145,1.4774914000000001,18.0,150,0.02,2048
146,146,1.4854037,18.0,150,0.02,2048
147,147,1.4941099,18.0,150,0.02,2048
148,148,1.5054877,18.0,150,0.02,2048
149,149,1.5194628000000001,18.0,150,0.02,2048
150,150,1.5319909,18.0,150,0.02,2048
151,151,1.5437971000000001,18.0,150,0.02,2048
152,152,1.5558623,18.0,150,0.02,2048
153,153,1.5690733000000001,18.0,150,0.02,2048
154,154,1.5814004000000002,18.0,150,0.02,2048
155,155,1.5935054,18.0,150,0.02,2048
156,156,1.6045214,18.0,150,0.02,2048
157,157,1.6134821000000001,18.0,150,0.02,2048
158,158,1.6212815,18.0,150,0.02,2048
159,159,1.629616,18.0,150,0.02,2048
160,160,1.6377463,18.0,150,0.02,2048
161,161,1.6456576,18.0,150,0.02,2048
162,162,1.6535229,18.0,150,0.02,2048
163,163,1.6614027,18.0,150,0.02,2048
164,164,1.6695461,18.0,150,0.02,2048
165,165,1.6779942,18.0,150,0.02,2048
166,166,1.6859425000000001,18.0,150,0.02,2048
167,167,1.6939772,18.0,150,0.02,2048
168,168,1.7018439,18.0,150,0.02,2048
169,169,1.7096739,18.0,150,0.02,2048
170,170,1.7174407,18.0,150,0.02,2048
171,171,1.7253912,18.0,150,0.02,2048
172,172,1.7336078000000001,18.0,150,0.02,2048
173,173,1.7414277,18.0,150,0.02,2048
174,174,1.7495881,18.0,150,0.02,2048
175,175,1.7576018,18.0,150,0.02,2048
176,176,1.7654772,18.0,150,0.02,2048
177,177,1.7734351000000002,18.0,150,0.02,2048
178,178,1.7814813,18.0,150,0.02,2048
179,179,1.7893067,18.0,150,0.02,2048
180,180,1.7972149,18.0,150,0.02,2048
181,181,1.8053852000000001,18.0,150,0.02,2048
182,182,1.8133804,18.0,150,0.02,2048
183,183,1.8211887,18.0,150,0.02,2048
184,184,1.8292484,18.0,150,0.02,2048
185,185,1.8372378,18.0,150,0.02,2048
186,186,1.8451623000000001,18.0,150,0.02,2048
187,187,1.8531344,18.0,150,0.02,2048
188,188,1.8623826,18.0,150,0.02,2048
189,189,1.8748913000000003,18.0,150,0.02,2048
190,190,1.8870719999999999,18.0,150,0.02,2048
191,191,1.8964660000000002,18.0,150,0.02,2048
192,192,1.9045659000000001,18.0,150,0.02,2048
193,193,1.9130466,18.0,150,0.02,2048
