,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
0,0,2681.9393902824845,0.016549000000168235,"[12, 15, 9, 14, 11, 2, 17, 18, 10, 21, 3, 19, 8, 1, 20, 5, 0, 6, 7, 16, 13, 4]",300,0.03,2048
1,1,3459.2553387332973,0.06512900000006994,"[14, 11, 21, 19, 15, 20, 13, 8, 12, 7, 1, 6, 3, 18, 5, 16, 9, 17, 2, 4, 10, 0]",300,0.03,2048
2,2,3459.2553387332973,0.1285570000000007,"[14, 11, 21, 19, 15, 20, 13, 8, 12, 7, 1, 6, 3, 18, 5, 16, 9, 17, 2, 4, 10, 0]",300,0.03,2048
3,4,3614.873577907008,0.23678240000003825,"[1, 13, 0, 19, 10, 4, 21, 11, 12, 20, 14, 6, 8, 5, 17, 15, 2, 7, 9, 3, 16, 18]",300,0.03,2048
4,8,3807.191670106917,0.4481822000000193,"[2, 19, 15, 4, 20, 12, 14, 21, 18, 3, 9, 16, 6, 1, 13, 8, 10, 7, 5, 11, 0, 17]",300,0.03,2048
5,16,3902.770200035209,0.8631761000001461,"[8, 5, 11, 12, 18, 3, 9, 17, 6, 14, 20, 4, 15, 16, 10, 2, 13, 1, 0, 19, 21, 7]",300,0.03,2048
6,32,3938.460535768989,1.6803564000001643,"[1, 13, 8, 5, 11, 12, 18, 3, 9, 17, 6, 14, 20, 4, 15, 16, 0, 19, 10, 2, 7, 21]",300,0.03,2048
7,64,3977.806369223894,3.3418223000001035,"[1, 5, 8, 13, 11, 12, 18, 3, 9, 17, 20, 14, 6, 16, 15, 4, 0, 19, 10, 2, 7, 21]",300,0.03,2048
8,128,4036.231998052243,6.649186200000031,"[1, 5, 11, 10, 8, 12, 18, 3, 9, 17, 20, 14, 6, 19, 15, 16, 21, 4, 13, 2, 7, 0]",300,0.03,2048
9,256,4056.4560951711524,13.363780900000165,"[16, 5, 4, 13, 8, 12, 18, 3, 9, 17, 20, 14, 15, 19, 6, 1, 21, 11, 10, 2, 7, 0]",300,0.03,2048
10,512,4057.2233273068846,26.550997700000153,"[14, 6, 1, 13, 8, 12, 18, 3, 9, 17, 20, 16, 15, 19, 5, 4, 21, 11, 10, 2, 7, 0]",300,0.03,2048
11,1024,4057.2233273068846,28.61435890000007,"[14, 6, 1, 13, 8, 12, 18, 3, 9, 17, 20, 16, 15, 19, 5, 4, 21, 11, 10, 2, 7, 0]",300,0.03,2048
12,2048,4057.2233273068846,28.61435890000007,"[14, 6, 1, 13, 8, 12, 18, 3, 9, 17, 20, 16, 15, 19, 5, 4, 21, 11, 10, 2, 7, 0]",300,0.03,2048
