,Iteration,Fitness,Time,State,Restarts,max_iters,current_restart
0,0,2170.402957280756,0.00018190000002960005,"[2, 10, 8, 5, 1, 12, 6, 9, 3, 7, 13, 11, 0, 4]",25,2048,0
1,1,2273.281004593937,0.0010167000000365078,"[2, 10, 8, 5, 1, 12, 6, 9, 0, 7, 13, 11, 3, 4]",25,2048,0
2,2,2273.281004593937,0.02310440000002245,"[2, 10, 8, 5, 1, 12, 6, 9, 0, 7, 13, 11, 3, 4]",25,2048,0
3,4,2274.9456275692773,0.04237870000002886,"[2, 10, 8, 5, 1, 12, 6, 9, 13, 7, 0, 11, 3, 4]",25,2048,0
4,8,2274.9456275692773,0.06263830000000326,"[2, 10, 8, 5, 1, 12, 6, 9, 13, 7, 0, 11, 3, 4]",25,2048,0
5,16,2299.625556425331,0.0827160000000049,"[2, 10, 8, 5, 1, 12, 7, 9, 13, 6, 0, 11, 3, 4]",25,2048,0
6,32,2348.1213687467257,0.1034809000000223,"[0, 3, 8, 5, 1, 12, 7, 9, 13, 6, 2, 11, 10, 4]",25,2048,0
7,64,2354.4039297245554,0.12463650000000825,"[0, 3, 8, 12, 1, 5, 7, 9, 13, 6, 2, 11, 10, 4]",25,2048,0
8,128,2456.5537130252637,0.14870390000004363,"[4, 3, 2, 6, 1, 5, 7, 9, 13, 12, 8, 11, 10, 0]",25,2048,0
9,256,2600.62203870574,0.18821910000002617,"[9, 10, 11, 6, 1, 0, 7, 4, 13, 5, 8, 12, 2, 3]",25,2048,0
10,512,2601.374301262894,0.2504033000000163,"[9, 10, 11, 6, 1, 5, 7, 4, 13, 0, 8, 12, 2, 3]",25,2048,0
11,1024,2601.374301262894,0.28230300000001307,"[9, 10, 11, 6, 1, 5, 7, 4, 13, 0, 8, 12, 2, 3]",25,2048,0
12,2048,2601.374301262894,0.28230300000001307,"[9, 10, 11, 6, 1, 5, 7, 4, 13, 0, 8, 12, 2, 3]",25,2048,0
13,0,2061.4959027792306,0.31086870000001454,"[9, 1, 13, 6, 8, 10, 12, 11, 5, 2, 7, 4, 3, 0]",25,2048,1
14,1,2133.4356572571714,0.3121770000000197,"[9, 1, 0, 6, 8, 10, 12, 11, 5, 2, 7, 4, 3, 13]",25,2048,1
15,2,2134.478713539416,0.33883960000002844,"[9, 1, 0, 6, 8, 10, 12, 11, 5, 2, 7, 4, 13, 3]",25,2048,1
16,4,2231.6574972793615,0.3675100000000384,"[9, 0, 1, 6, 8, 10, 12, 11, 5, 2, 3, 4, 13, 7]",25,2048,1
17,8,2247.5482944146456,0.3966381000000183,"[9, 0, 1, 6, 4, 10, 12, 11, 5, 2, 3, 8, 13, 7]",25,2048,1
18,16,2348.3738592748405,0.42528939999999693,"[7, 0, 1, 6, 4, 10, 12, 11, 5, 2, 3, 8, 13, 9]",25,2048,1
19,32,2484.8890219048144,0.45533320000004096,"[7, 0, 8, 6, 4, 13, 10, 11, 3, 2, 12, 1, 5, 9]",25,2048,1
20,64,2487.91455353049,0.4920256000000336,"[7, 0, 8, 6, 4, 13, 10, 11, 3, 2, 5, 1, 12, 9]",25,2048,1
21,128,2599.8333975427754,0.5317125999999917,"[7, 0, 8, 5, 13, 11, 10, 4, 3, 2, 12, 1, 6, 9]",25,2048,1
22,256,2602.2032015588466,0.5877543000000287,"[7, 0, 8, 5, 13, 4, 10, 11, 3, 2, 12, 1, 6, 9]",25,2048,1
23,512,2602.863166252452,0.6709835999999996,"[13, 0, 8, 5, 7, 4, 10, 9, 3, 2, 12, 1, 6, 11]",25,2048,1
24,1024,2602.863166252452,0.7156459000000268,"[13, 0, 8, 5, 7, 4, 10, 9, 3, 2, 12, 1, 6, 11]",25,2048,1
25,2048,2602.863166252452,0.7156459000000268,"[13, 0, 8, 5, 7, 4, 10, 9, 3, 2, 12, 1, 6, 11]",25,2048,1
26,0,1766.3892591129827,0.7497026000000346,"[12, 13, 5, 3, 8, 4, 10, 11, 9, 2, 7, 1, 6, 0]",25,2048,2
27,1,1854.2704202700288,0.7510326000000305,"[12, 8, 5, 3, 13, 4, 10, 11, 9, 2, 7, 1, 6, 0]",25,2048,2
28,2,1854.2704202700288,0.782953300000031,"[12, 8, 5, 3, 13, 4, 10, 11, 9, 2, 7, 1, 6, 0]",25,2048,2
29,4,1926.447327741527,0.81773179999999,"[12, 8, 5, 3, 13, 4, 10, 6, 9, 2, 7, 1, 11, 0]",25,2048,2
30,8,2054.1923469273725,0.8525772000000416,"[12, 8, 5, 3, 13, 4, 10, 6, 11, 0, 7, 1, 9, 2]",25,2048,2
31,16,2119.8940278359732,0.8878224000000046,"[12, 8, 5, 3, 7, 4, 10, 6, 11, 0, 13, 1, 9, 2]",25,2048,2
32,32,2418.125435609066,0.9316115000000309,"[12, 8, 5, 2, 10, 4, 6, 11, 7, 0, 3, 1, 9, 13]",25,2048,2
33,64,2456.9868673696774,0.9710757000000285,"[9, 8, 12, 2, 6, 4, 10, 11, 7, 0, 3, 1, 5, 13]",25,2048,2
34,128,2524.482965077488,1.013791700000013,"[9, 8, 5, 1, 6, 4, 3, 11, 10, 0, 7, 12, 2, 13]",25,2048,2
35,256,2598.338715096692,1.1092826999999943,"[4, 7, 5, 1, 6, 11, 3, 9, 13, 0, 8, 12, 2, 10]",25,2048,2
36,512,2601.4926305505055,1.2475896000000262,"[9, 7, 5, 1, 6, 11, 10, 4, 13, 0, 8, 12, 2, 3]",25,2048,2
37,1024,2601.4926305505055,1.2475896000000262,"[9, 7, 5, 1, 6, 11, 10, 4, 13, 0, 8, 12, 2, 3]",25,2048,2
38,2048,2601.4926305505055,1.2475896000000262,"[9, 7, 5, 1, 6, 11, 10, 4, 13, 0, 8, 12, 2, 3]",25,2048,2
39,0,1841.5064639439754,1.3036989999999946,"[2, 11, 7, 1, 0, 4, 13, 8, 10, 5, 9, 12, 6, 3]",25,2048,3
40,1,1841.5064639439754,1.306069500000035,"[2, 11, 7, 1, 0, 4, 13, 8, 10, 5, 9, 12, 6, 3]",25,2048,3
41,2,2060.0430147484367,1.3432445000000257,"[2, 11, 12, 1, 0, 4, 13, 8, 10, 5, 9, 7, 6, 3]",25,2048,3
42,4,2060.0430147484367,1.3811587000000145,"[2, 11, 12, 1, 0, 4, 13, 8, 10, 5, 9, 7, 6, 3]",25,2048,3
43,8,2060.0430147484367,1.4201144000000454,"[2, 11, 12, 1, 0, 4, 13, 8, 10, 5, 9, 7, 6, 3]",25,2048,3
44,16,2289.2011258241496,1.4629183000000126,"[0, 11, 12, 1, 6, 13, 4, 10, 8, 5, 9, 7, 2, 3]",25,2048,3
45,32,2372.206508908542,1.5163453000000118,"[0, 11, 12, 1, 5, 13, 4, 10, 8, 6, 2, 7, 9, 3]",25,2048,3
46,64,2462.405430808008,1.5957397999999898,"[6, 11, 12, 1, 5, 10, 4, 13, 8, 0, 2, 3, 9, 7]",25,2048,3
47,128,2489.73870759851,1.6754645000000323,"[12, 1, 6, 8, 5, 10, 4, 13, 2, 0, 11, 3, 9, 7]",25,2048,3
48,256,2641.4194502041883,1.7658445000000142,"[0, 1, 12, 8, 5, 7, 4, 10, 11, 6, 2, 3, 9, 13]",25,2048,3
49,512,2641.4194502041883,1.842924000000039,"[0, 1, 12, 8, 5, 7, 4, 10, 11, 6, 2, 3, 9, 13]",25,2048,3
50,1024,2641.4194502041883,1.842924000000039,"[0, 1, 12, 8, 5, 7, 4, 10, 11, 6, 2, 3, 9, 13]",25,2048,3
51,2048,2641.4194502041883,1.842924000000039,"[0, 1, 12, 8, 5, 7, 4, 10, 11, 6, 2, 3, 9, 13]",25,2048,3
52,0,1878.272883668738,1.893170400000031,"[10, 13, 1, 0, 3, 8, 6, 7, 9, 11, 2, 12, 4, 5]",25,2048,4
53,1,2058.8349022758293,1.8942679000000453,"[10, 13, 1, 9, 3, 8, 6, 7, 0, 11, 2, 12, 4, 5]",25,2048,4
