,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,1438.2599923473188,0.00033410000000344553,"[6, 2, 5, 1, 8, 7, 9, 3, 0, 4]",geometric,10,0.99,0.001,9.999966421884288,10,8192
1,1,1470.3336517174419,0.0021880000000038535,"[6, 4, 5, 1, 8, 7, 9, 3, 0, 2]",geometric,10,0.99,0.001,9.999780101069337,10,8192
2,2,1816.84945941905,0.02146290000000306,"[6, 4, 5, 1, 0, 7, 9, 3, 8, 2]",geometric,10,0.99,0.001,9.997843139101995,10,8192
3,4,1816.84945941905,0.04286170000000311,"[6, 4, 5, 1, 0, 7, 9, 3, 8, 2]",geometric,10,0.99,0.001,9.99569318289753,10,8192
4,8,1809.8643137281408,0.06331240000000093,"[6, 9, 5, 1, 3, 7, 8, 0, 4, 2]",geometric,10,0.99,0.001,9.993638915191465,10,8192
5,16,1809.8643137281408,0.08441500000000701,"[6, 9, 5, 1, 3, 7, 8, 0, 4, 2]",geometric,10,0.99,0.001,9.991519606876887,10,8192
6,32,1814.9979562157494,0.10734809999999584,"[6, 9, 5, 1, 3, 4, 7, 0, 8, 2]",geometric,10,0.99,0.001,9.989216973283563,10,8192
7,64,1824.11298140558,0.13177489999999636,"[6, 9, 0, 1, 5, 4, 7, 3, 8, 2]",geometric,10,0.99,0.001,9.98676494604752,10,8192
8,128,1839.7286852544164,0.16225000000000023,"[6, 4, 0, 8, 5, 1, 7, 3, 9, 2]",geometric,10,0.99,0.001,9.98370661822806,10,8192
9,256,1870.2005934882768,0.2034359999999964,"[7, 4, 3, 1, 0, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.979574886463324,10,8192
10,512,1876.9190947122474,0.2639089000000041,"[7, 1, 0, 4, 3, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.973511413538658,10,8192
11,1024,1876.9190947122474,0.2948511000000025,"[7, 1, 0, 4, 3, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.970410338136057,10,8192
12,2048,1876.9190947122474,0.2948511000000025,"[7, 1, 0, 4, 3, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.970410338136057,10,8192
13,4096,1876.9190947122474,0.2948511000000025,"[7, 1, 0, 4, 3, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.970410338136057,10,8192
14,8192,1876.9190947122474,0.2948511000000025,"[7, 1, 0, 4, 3, 9, 5, 8, 2, 6]",geometric,10,0.99,0.001,9.970410338136057,10,8192
