,Iteration,Fitness,Time,State,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,4499.451565218857,0.018838099999811675,"[10, 25, 12, 11, 26, 15, 1, 3, 18, 21, 9, 24, 5, 29, 2, 22, 14, 31, 28, 8, 17, 0, 6, 23, 19, 7, 20, 27, 16, 13, 30, 4]",False,300,0.2,2048
1,1,4796.2457606265525,1.0821470999999292,"[7, 25, 12, 20, 16, 31, 17, 10, 2, 8, 1, 0, 26, 15, 11, 22, 14, 5, 29, 27, 24, 9, 30, 3, 23, 21, 18, 28, 4, 13, 6, 19]",False,300,0.2,2048
2,2,4838.0008278079895,2.116790399999445,"[19, 27, 16, 30, 6, 23, 13, 5, 18, 9, 31, 21, 4, 24, 1, 0, 26, 17, 10, 2, 28, 7, 8, 25, 12, 20, 22, 14, 15, 11, 3, 29]",False,300,0.2,2048
3,4,4945.448266799654,4.286894299999403,"[6, 14, 28, 19, 16, 24, 17, 10, 2, 25, 0, 8, 26, 15, 11, 22, 29, 3, 9, 27, 4, 12, 30, 23, 7, 21, 18, 31, 13, 5, 20, 1]",False,300,0.2,2048
4,8,4947.2740905902565,8.4144225,"[14, 19, 20, 12, 1, 5, 9, 30, 21, 18, 27, 24, 7, 22, 23, 4, 0, 2, 3, 11, 10, 17, 8, 16, 6, 29, 28, 25, 31, 13, 26, 15]",False,300,0.2,2048
5,16,4947.2740905902565,16.87216029999945,"[14, 19, 20, 12, 1, 5, 9, 30, 21, 18, 27, 24, 7, 22, 23, 4, 0, 2, 3, 11, 10, 17, 8, 16, 6, 29, 28, 25, 31, 13, 26, 15]",False,300,0.2,2048
6,32,4947.2740905902565,34.10601150000002,"[14, 19, 20, 12, 1, 5, 9, 30, 21, 18, 27, 24, 7, 22, 23, 4, 0, 2, 3, 11, 10, 17, 8, 16, 6, 29, 28, 25, 31, 13, 26, 15]",False,300,0.2,2048
7,64,4947.2740905902565,2334.7812490999995,"[14, 19, 20, 12, 1, 5, 9, 30, 21, 18, 27, 24, 7, 22, 23, 4, 0, 2, 3, 11, 10, 17, 8, 16, 6, 29, 28, 25, 31, 13, 26, 15]",False,300,0.2,2048
