,Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters
31,16,330.0,0.4080905999999995,"[4, 4, 4, 1, 4, 4, 2, 4, 4, 4, 3, 4, 4, 4, 2, 0, 4, 0, 1, 3]",150,0.03,2048
32,32,346.0,0.7191606000000004,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
33,64,347.0,1.2717290000000006,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
34,128,347.0,2.4872329000000004,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
35,256,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
36,512,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
37,1024,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
38,2048,347.0,4.6421814,"[4, 4, 4, 0, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 1, 4]",150,0.03,2048
39,0,157.0,0.009304399999999546,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.1,2048
40,1,271.0,0.03481470000000009,"[0, 4, 4, 3, 1, 3, 3, 4, 4, 1, 2, 4, 4, 3, 3, 3, 1, 2, 4, 3]",150,0.1,2048
41,2,292.0,0.0883818999999999,"[1, 3, 4, 1, 1, 4, 3, 2, 4, 3, 4, 4, 4, 4, 4, 0, 3, 3, 4, 1]",150,0.1,2048
42,4,302.0,0.1571859,"[4, 4, 4, 3, 4, 4, 3, 2, 3, 1, 4, 3, 4, 3, 3, 2, 2, 2, 1, 3]",150,0.1,2048
43,8,318.0,0.2707259999999998,"[4, 4, 4, 2, 0, 3, 1, 2, 4, 4, 3, 4, 4, 4, 3, 4, 3, 2, 2, 3]",150,0.1,2048
44,16,333.0,0.460761999999999,"[4, 4, 4, 0, 3, 3, 2, 4, 3, 4, 3, 4, 4, 4, 3, 1, 4, 4, 1, 4]",150,0.1,2048
45,32,347.0,0.7690583999999987,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 3, 4, 4, 4, 4, 4, 1, 4, 4, 0, 4]",150,0.1,2048
46,64,348.0,1.4227545,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
47,128,348.0,2.6997932999999996,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
48,256,348.0,4.817838899999998,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
49,512,348.0,4.817838899999998,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
50,1024,348.0,4.817838899999998,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
51,2048,348.0,4.817838899999998,"[4, 4, 4, 0, 4, 4, 2, 4, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 0, 4]",150,0.1,2048
52,0,157.0,0.009992399999998014,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.2,2048
53,1,267.0,0.033967799999999215,"[0, 4, 4, 3, 3, 4, 0, 2, 1, 3, 4, 3, 4, 3, 3, 2, 2, 1, 1, 4]",150,0.2,2048
54,2,280.0,0.0821265000000011,"[1, 4, 4, 0, 2, 4, 4, 4, 3, 3, 0, 4, 3, 4, 2, 2, 4, 3, 0, 1]",150,0.2,2048
55,4,290.0,0.1408436999999978,"[4, 3, 4, 1, 0, 2, 4, 2, 4, 2, 4, 4, 4, 3, 4, 4, 3, 2, 4, 0]",150,0.2,2048
56,8,335.0,0.2287473999999996,"[4, 4, 4, 0, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 3, 3, 0, 0, 4]",150,0.2,2048
57,16,335.0,0.4021203,"[4, 4, 4, 0, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 3, 3, 0, 0, 4]",150,0.2,2048
58,32,347.0,0.7295867999999999,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 3, 0, 4]",150,0.2,2048
59,64,348.0,1.4148238999999982,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
60,128,348.0,2.662810699999998,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
61,256,348.0,4.773354000000001,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
62,512,348.0,4.773354000000001,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
63,1024,348.0,4.773354000000001,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
64,2048,348.0,4.773354000000001,"[4, 4, 4, 0, 4, 4, 0, 4, 4, 4, 4, 4, 4, 4, 4, 3, 4, 3, 0, 4]",150,0.2,2048
65,0,157.0,0.010522400000002818,"[4, 0, 3, 4, 3, 0, 1, 0, 0, 3, 4, 3, 2, 0, 1, 0, 2, 3, 1, 1]",150,0.3,2048
66,1,270.0,0.027042100000002733,"[3, 4, 4, 0, 2, 3, 2, 3, 2, 2, 4, 0, 4, 3, 3, 0, 3, 4, 2, 3]",150,0.3,2048
67,2,270.0,0.07579379999999958,"[3, 4, 4, 0, 2, 3, 2, 3, 2, 2, 4, 0, 4, 3, 3, 0, 3, 4, 2, 3]",150,0.3,2048
68,4,292.0,0.13195890000000077,"[3, 3, 4, 3, 4, 2, 4, 2, 4, 2, 2, 4, 4, 3, 4, 0, 3, 2, 2, 3]",150,0.3,2048
69,8,315.0,0.2518097000000026,"[3, 4, 4, 1, 4, 3, 4, 3, 4, 4, 1, 4, 4, 3, 3, 0, 4, 4, 2, 3]",150,0.3,2048
