,Iteration,Fitness,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters
0,0,2187.074325869182,0.00017400000001543958,"[2, 10, 8, 5, 1, 11, 6, 9, 3, 7, 12, 0, 4]",geometric,10,0.99,0.001,9.999982512430904,10,8192
1,1,2187.074325869182,0.0012108999999895786,"[2, 10, 8, 5, 1, 11, 6, 9, 3, 7, 12, 0, 4]",geometric,10,0.99,0.001,9.999878301223687,10,8192
2,2,2187.074325869182,0.021212100000013834,"[2, 10, 8, 5, 1, 11, 6, 9, 3, 7, 12, 0, 4]",geometric,10,0.99,0.001,9.99786833993944,10,8192
3,4,2187.074325869182,0.041468399999985195,"[2, 10, 8, 5, 1, 11, 6, 9, 3, 7, 12, 0, 4]",geometric,10,0.99,0.001,9.995833154898065,10,8192
4,8,2406.7787619176356,0.0628550000000132,"[2, 10, 8, 5, 7, 11, 6, 9, 3, 1, 12, 4, 0]",geometric,10,0.99,0.001,9.993684856291196,10,8192
5,16,2428.3799083651147,0.08796969999997373,"[2, 10, 8, 6, 7, 11, 5, 9, 3, 4, 12, 1, 0]",geometric,10,0.99,0.001,9.991162656934447,10,8192
6,32,2444.8088116641984,0.11335250000001906,"[8, 10, 2, 5, 7, 11, 6, 9, 3, 4, 12, 1, 0]",geometric,10,0.99,0.001,9.988614179820996,10,8192
7,64,2432.770457359061,0.1401065000000017,"[1, 2, 6, 7, 10, 11, 12, 9, 3, 4, 5, 8, 0]",geometric,10,0.99,0.001,9.985928735518488,10,8192
8,128,2486.1696176703053,0.17451820000002272,"[1, 7, 12, 11, 6, 9, 5, 2, 10, 4, 3, 8, 0]",geometric,10,0.99,0.001,9.982475707778098,10,8192
9,256,2507.494617408697,0.21479790000000776,"[1, 7, 5, 2, 10, 9, 6, 8, 3, 11, 12, 4, 0]",geometric,10,0.99,0.001,9.978435374778481,10,8192
10,512,2519.4553599668384,0.28051499999997986,"[1, 7, 10, 2, 5, 9, 6, 8, 12, 11, 3, 4, 0]",geometric,10,0.99,0.001,9.971847004475192,10,8192
11,1024,2519.4553599668384,0.32633959999998297,"[1, 7, 10, 2, 5, 9, 6, 8, 12, 11, 3, 4, 0]",geometric,10,0.99,0.001,9.967255501603026,10,8192
12,2048,2519.4553599668384,0.32633959999998297,"[1, 7, 10, 2, 5, 9, 6, 8, 12, 11, 3, 4, 0]",geometric,10,0.99,0.001,9.967255501603026,10,8192
13,4096,2519.4553599668384,0.32633959999998297,"[1, 7, 10, 2, 5, 9, 6, 8, 12, 11, 3, 4, 0]",geometric,10,0.99,0.001,9.967255501603026,10,8192
14,8192,2519.4553599668384,0.32633959999998297,"[1, 7, 10, 2, 5, 9, 6, 8, 12, 11, 3, 4, 0]",geometric,10,0.99,0.001,9.967255501603026,10,8192
