,Iteration,Time,Fitness,use_fast_mimic,Population Size,Keep Percent,max_iters
0,0,0.016454399999929592,3807.095337367146,False,300,0.2,2048
1,1,0.6438422999999602,3807.095337367146,False,300,0.2,2048
2,2,1.3378515999997944,3807.095337367146,False,300,0.2,2048
3,3,1.9774144999998953,3840.066351086639,False,300,0.2,2048
4,4,2.5805144999999357,3840.066351086639,False,300,0.2,2048
5,5,3.208949999999959,3840.066351086639,False,300,0.2,2048
6,6,3.8054760999998507,3840.066351086639,False,300,0.2,2048
7,7,4.43813769999997,3840.066351086639,False,300,0.2,2048
8,8,5.037326099999973,3840.066351086639,False,300,0.2,2048
9,9,5.647630399999798,3840.066351086639,False,300,0.2,2048
10,10,6.281014599999935,3840.066351086639,False,300,0.2,2048
11,11,6.880140999999867,3840.066351086639,False,300,0.2,2048
12,12,7.519010299999991,3840.066351086639,False,300,0.2,2048
13,13,8.161648199999945,3840.066351086639,False,300,0.2,2048
14,14,8.769120399999792,3840.066351086639,False,300,0.2,2048
15,15,9.377259299999878,3840.066351086639,False,300,0.2,2048
16,16,9.994326499999943,3840.066351086639,False,300,0.2,2048
17,17,10.598751099999845,3840.066351086639,False,300,0.2,2048
18,18,11.227750399999877,3840.066351086639,False,300,0.2,2048
19,19,11.950811799999883,3840.066351086639,False,300,0.2,2048
20,20,12.577561099999912,3840.066351086639,False,300,0.2,2048
21,21,13.20203349999997,3840.066351086639,False,300,0.2,2048
22,22,13.795955800000002,3840.066351086639,False,300,0.2,2048
23,23,14.420844699999861,3840.066351086639,False,300,0.2,2048
24,24,15.007134299999962,3840.066351086639,False,300,0.2,2048
25,25,15.598854999999958,3840.066351086639,False,300,0.2,2048
26,26,16.244085499999983,3840.066351086639,False,300,0.2,2048
27,27,16.853689399999894,3840.066351086639,False,300,0.2,2048
28,28,17.454021099999864,3840.066351086639,False,300,0.2,2048
29,29,18.051871499999834,3840.066351086639,False,300,0.2,2048
30,30,18.688224099999843,3840.066351086639,False,300,0.2,2048
31,31,19.292877999999973,3840.066351086639,False,300,0.2,2048
32,32,19.908525800000007,3840.066351086639,False,300,0.2,2048
33,33,20.5160171,3840.066351086639,False,300,0.2,2048
34,34,21.144636300000002,3840.066351086639,False,300,0.2,2048
35,35,21.743075999999974,3840.066351086639,False,300,0.2,2048
36,36,22.370325499999808,3840.066351086639,False,300,0.2,2048
37,37,22.993701099999953,3840.066351086639,False,300,0.2,2048
38,38,23.594713299999967,3840.066351086639,False,300,0.2,2048
39,39,24.211462799999936,3840.066351086639,False,300,0.2,2048
40,40,24.815653499999826,3840.066351086639,False,300,0.2,2048
41,41,25.416354299999966,3840.066351086639,False,300,0.2,2048
42,42,26.019509199999902,3840.066351086639,False,300,0.2,2048
43,43,26.636852599999884,3840.066351086639,False,300,0.2,2048
44,44,27.284129399999983,3840.066351086639,False,300,0.2,2048
45,45,27.90009219999979,3840.066351086639,False,300,0.2,2048
46,46,28.49975769999992,3840.066351086639,False,300,0.2,2048
47,47,29.098609099999976,3840.066351086639,False,300,0.2,2048
48,48,29.685992899999974,3840.066351086639,False,300,0.2,2048
49,49,30.28196439999988,3840.066351086639,False,300,0.2,2048
50,50,30.893280699999877,3840.066351086639,False,300,0.2,2048
51,51,31.531352999999854,3840.066351086639,False,300,0.2,2048
52,52,32.1618653999999,3840.066351086639,False,300,0.2,2048
53,53,32.857180999999855,3840.066351086639,False,300,0.2,2048
54,54,33.44931999999994,3840.066351086639,False,300,0.2,2048
55,55,34.056066999999985,3840.066351086639,False,300,0.2,2048
56,56,34.650371999999834,3840.066351086639,False,300,0.2,2048
57,57,35.254252399999814,3840.066351086639,False,300,0.2,2048
58,58,35.8496760999999,3840.066351086639,False,300,0.2,2048
59,59,36.47055660000001,3840.066351086639,False,300,0.2,2048
60,60,37.09694109999987,3840.066351086639,False,300,0.2,2048
61,61,37.70136989999992,3840.066351086639,False,300,0.2,2048
62,62,38.342549899999995,3840.066351086639,False,300,0.2,2048
63,63,38.944553899999846,3840.066351086639,False,300,0.2,2048
64,64,39.54102769999986,3840.066351086639,False,300,0.2,2048
65,65,40.1633390999998,3840.066351086639,False,300,0.2,2048
66,66,40.76888379999991,3840.066351086639,False,300,0.2,2048
67,67,41.3846431999998,3840.066351086639,False,300,0.2,2048
68,68,41.9981393999999,3840.066351086639,False,300,0.2,2048
69,69,42.602307599999904,3840.066351086639,False,300,0.2,2048
70,70,43.20001669999988,3840.066351086639,False,300,0.2,2048
71,71,43.79455779999989,3840.066351086639,False,300,0.2,2048
72,72,44.465259599999854,3840.066351086639,False,300,0.2,2048
73,73,45.0728752,3840.066351086639,False,300,0.2,2048
74,74,45.665491499999916,3840.066351086639,False,300,0.2,2048
75,75,46.2614286999999,3840.066351086639,False,300,0.2,2048
76,76,46.896402899999885,3840.066351086639,False,300,0.2,2048
77,77,47.49520299999995,3840.066351086639,False,300,0.2,2048
78,78,48.099748999999974,3840.066351086639,False,300,0.2,2048
79,79,48.71711789999995,3840.066351086639,False,300,0.2,2048
80,80,49.35278339999991,3840.066351086639,False,300,0.2,2048
81,81,49.95927009999991,3840.066351086639,False,300,0.2,2048
82,82,50.544268099999954,3840.066351086639,False,300,0.2,2048
83,83,51.13078009999981,3840.066351086639,False,300,0.2,2048
84,84,51.72647579999989,3840.066351086639,False,300,0.2,2048
85,85,52.33939649999979,3840.066351086639,False,300,0.2,2048
86,86,52.925776299999825,3840.066351086639,False,300,0.2,2048
87,87,53.52487719999999,3840.066351086639,False,300,0.2,2048
